index,version,year,engine,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,price
116,קיה סורנטו URBAN,2016,2359 ליטר בנזין,"105,000",2,אוטומטי,לבן,פרטית,7 חודשים,"‏2,019 ₪",118000
117,טויוטה קורולה SP. EDITION,2019,1798 ליטר בנזין,"47,000",1,אוטומטי,לבן,פרטית,1 חודשים,"‏1,811 ₪",131000
118,מיצובישי אאוטלנדר PREMIUM,2017,1998 ליטר בנזין,"94,330",1,אוטומטי,אפור,ליסינג,1 חודשים,"‏2,019 ₪",122382
119,מיצובישי אאוטלנדר PREMIUM,2017,1998 ליטר בנזין,"94,330",1,אוטומטי,אפור,ליסינג,1 חודשים,"‏2,019 ₪",122382
120,מרצדס CLS קלאס CLS450 4MATIC AMG,2018,2999 ליטר בנזין,"35,000",2,אוטומטי,לבן,פרטית,6 חודשים,"‏3,357 ₪",430000
121,יונדאי איוניק HYBRID PREMIUM,2017,1580 ליטר בנזין,"160,000",2,אוטומטי,שחור מטלי,ליסינג,8 חודשים,"‏1,604 ₪",85000
122,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"103,032",1,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,811 ₪",105000
123,טויוטה לנד קרוזר LUXURY,2008,3956 ליטר בנזין,"141,000",2,אוטומטי,כסף,פרטית,10 חודשים,"‏1,726 ₪",195000
124,טויוטה לנד קרוזר LUXURY,2008,3956 ליטר בנזין,"141,000",2,אוטומטי,כסף,פרטית,10 חודשים,"‏1,726 ₪",195000
125,לנד רובר רינג' רובר אווק S-PLUS,2021,1997 ליטר בנזין,"11,800",1,אוטומטי,אפור מטל,פרטית,3 חודשים,"‏4,731 ₪",385000
126,קיה ספורטז' URBAN,2014,1998 ליטר בנזין,"90,000",2,אוטומטי,שחור,פרטית,8 חודשים,"‏1,584 ₪",69900
127,סוזוקי ויטארה GLXV,2018,1586 ליטר בנזין,"85,715",1,אוטומטי,טורקיז,ליסינג,8 חודשים,"‏1,604 ₪",90900
128,הונדה סיוויק COMFORT,2018,988 ליטר בנזין,"81,280",1,אוטומטי,אפור מטאלי,ליסינג,8 חודשים,"‏1,604 ₪",88900
129,הונדה סיוויק COMFORT,2018,988 ליטר בנזין,"81,280",1,אוטומטי,אפור מטאלי,ליסינג,8 חודשים,"‏1,604 ₪",88900
130,שברולט ספארק LT PLUS,2019,1399 ליטר בנזין,"62,000",1,אוטומטי,שחור מטאלי,פרטית,1 חודשים,"‏1,235 ₪",66600
131,יונדאי סונטה HYBRID PREMIUM,2018,1999 ליטר בנזין,"140,000",1,אוטומטי,אפור מטל,ליסינג,5 חודשים,"‏2,019 ₪",105000
132,סיטרואן ברלינגו XTR,2018,1560 ליטר דיזל,"144,000",1,אוטומטי,לבן,ליסינג,6 חודשים,"‏1,604 ₪",79500
133,אופל מריבה ENJOY,2015,1364 ליטר בנזין,"108,000",1,אוטומטי,אפור מטל,ליסינג,11 חודשים,"‏1,205 ₪",31000
134,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"99,000",1,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,811 ₪",97000
135,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"99,000",1,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,811 ₪",97000
136,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"99,000",1,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,811 ₪",97000
137,טויוטה יאריס STYLE,2019,1496 ליטר בנזין,"45,000",1,אוטומטי,אפור כהה מטלי,פרטית,2 חודשים,"‏1,529 ₪",85900
138,טויוטה יאריס STYLE,2019,1496 ליטר בנזין,"45,000",1,אוטומטי,אפור כהה מטלי,פרטית,2 חודשים,"‏1,529 ₪",85900
139,מיצובישי אטראז INSTYLE,2016,1193 ליטר בנזין,"173,992",1,אוטומטי,לבן,ליסינג,5 חודשים,"‏1,102 ₪",39500
140,קיה נירו EX,2018,1580 ליטר בנזין,"145,000",2,אוטומטי,לבן,ליסינג,6 חודשים,"‏1,604 ₪",95000
141,סקודה אוקטביה AMBITION,2019,1498 ליטר בנזין,"87,000",2,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,811 ₪",120000
142,איסוזו D-Max LS,2014,2499 ליטר דיזל,"150,000",2,אוטומטי,כסוף בהיר,פרטית,9 חודשים,"‏1,962 ₪",140000
