index,version,year,engine,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,price
245,מאזדה 6 LUXURY,2013,1998 ליטר בנזין,"196,000",2,אוטומטי,כסוף כהה,ליסינג,1 חודשים,"‏1,693 ₪",46000
246,סיטרואן C3 COMFORT PK,2011,1598 ליטר בנזין,"137,000",2,אוטומטי,בז,פרטית,1 חודשים,"‏1,074 ₪",18900
247,אופל קורסה ENJOY,2012,1398 ליטר בנזין,"220,000",2,אוטומטי,כסף מטלי,ליסינג,3 חודשים,"‏1,205 ₪",19900
248,אופל קורסה ENJOY,2012,1398 ליטר בנזין,"220,000",2,אוטומטי,כסף מטלי,ליסינג,3 חודשים,"‏1,205 ₪",19900
249,פורד מוסטנג ECOBOOST,2021,2261 ליטר בנזין,"13,000",1,אוטומטי,שחור,פרטית,11 חודשים,"‏3,366 ₪",289900
250,פורד מוסטנג ECOBOOST,2021,2261 ליטר בנזין,"13,000",1,אוטומטי,שחור,פרטית,11 חודשים,"‏3,366 ₪",289900
251,פורד מוסטנג ECOBOOST,2021,2261 ליטר בנזין,"13,000",1,אוטומטי,שחור,פרטית,11 חודשים,"‏3,366 ₪",289900
252,מאזדה 3 ACTIVE,2011,1598 ליטר בנזין,"190,000",3,אוטומטי,לבן,ליסינג,5 חודשים,"‏1,262 ₪",24000
253,סיטרואן C5 AIRCROSS FEEL,2019,1598 ליטר בנזין,"94,915",1,אוטומטי,שחור,ליסינג,4 חודשים,"‏2,130 ₪",113900
254,יונדאי טוסון ELITE TURBO,2019,1591 ליטר בנזין,"34,000",1,אוטומטי,בז מטאלי,פרטית,10 חודשים,"‏2,417 ₪",146000
255,לקסוס UX 250H PREMIUM,2019,1987 ליטר בנזין,"40,000",1,אוטומטי,אפור כהה,פרטית,9 חודשים,"‏3,366 ₪",183900
256,לקסוס UX 250H PREMIUM,2019,1987 ליטר בנזין,"40,000",1,אוטומטי,אפור כהה,פרטית,9 חודשים,"‏3,366 ₪",183900
257,אאודי Q5 LUXURY,2011,1984 ליטר בנזין,"172,000",2,אוטומטי,כסוף בהיר,פרטית,4 חודשים,"‏1,726 ₪",73500
258,אאודי Q5 LUXURY,2011,1984 ליטר בנזין,"172,000",2,אוטומטי,כסוף בהיר,פרטית,4 חודשים,"‏1,726 ₪",73500
259,אאודי Q5 LUXURY,2011,1984 ליטר בנזין,"172,000",2,אוטומטי,כסוף בהיר,פרטית,4 חודשים,"‏1,726 ₪",73500
260,וולבו XC60 T8 INSCRIPTION,2019,1969 ליטר חשמל/בנזין,"20,000",1,אוטומטי,שחור,פרטית,11 חודשים,"‏3,357 ₪",289000
261,מיצובישי אטראז INSTYLE,2016,1193 ליטר בנזין,"197,594",1,אוטומטי,אפור,ליסינג,4 חודשים,"‏1,102 ₪",36948
262,מיצובישי אטראז INSTYLE,2016,1193 ליטר בנזין,"197,594",1,אוטומטי,אפור,ליסינג,4 חודשים,"‏1,102 ₪",36948
263,פיאט פנדה ONE,2017,1242 ליטר בנזין,"90,000",1,ידני,לבן,ליסינג,6 חודשים,"‏1,102 ₪",29800
264,פיאט פנדה ONE,2017,1242 ליטר בנזין,"90,000",1,ידני,לבן,ליסינג,6 חודשים,"‏1,102 ₪",29800
265,סקודה סופרב AMBITION,2014,1798 ליטר בנזין,"175,000",2,אוטומטי,ברונזה,פרטית,4 חודשים,"‏1,693 ₪",42900
266,פיג'ו 208 ACCESS,2016,1199 ליטר בנזין,"67,000",2,אוטומטי,כחול,פרטית,6 חודשים,"‏1,102 ₪",44000
267,קיה פיקנטו EX,2017,1248 ליטר בנזין,"66,000",2,אוטומטי,זהב מטאלי,פרטית,5 חודשים,"‏1,102 ₪",65000
268,קיה פיקנטו EX,2017,1248 ליטר בנזין,"66,000",2,אוטומטי,זהב מטאלי,פרטית,5 חודשים,"‏1,102 ₪",65000
269,לקסוס GS 300H PREMIUM,2014,2494 ליטר בנזין,"117,000",3,אוטומטי,לבן,פרטית,8 חודשים,"‏2,397 ₪",115000
270,מאזדה 3 SPORT,2019,1998 ליטר בנזין,"50,000",2,אוטומטי,לבן,פרטית,4 חודשים,"‏1,811 ₪",100000
271,סקודה פאביה STYLE,2016,1197 ליטר בנזין,"95,000",2,אוטומטי,לבן,פרטית,8 חודשים,"‏1,353 ₪",69900
272,מאזדה 5 S,2006,1999 ליטר בנזין,"230,000",5,אוטומטי,כחול,פרטית,1 חודשים,"‏1,369 ₪",17000
273,סקודה אוקטביה ELEGANCE,2012,1197 ליטר בנזין,"227,000",2,אוטומטי,פלטינה,ליסינג,8 חודשים,"‏1,424 ₪",29000
274,סקודה אוקטביה AMBITION,2016,1197 ליטר בנזין,"160,000",3,אוטומטי,שחור מטלי,פרטית,8 חודשים,"‏1,604 ₪",64000
275,סקודה אוקטביה AMBITION,2016,1197 ליטר בנזין,"160,000",3,אוטומטי,שחור מטלי,פרטית,8 חודשים,"‏1,604 ₪",64000
276,סקודה אוקטביה AMBITION,2016,1197 ליטר בנזין,"160,000",3,אוטומטי,שחור מטלי,פרטית,8 חודשים,"‏1,604 ₪",64000
277,סקודה אוקטביה AMBITION,2016,1197 ליטר בנזין,"160,000",3,אוטומטי,שחור מטלי,פרטית,8 חודשים,"‏1,604 ₪",64000
278,ניסאן X TRAIL ACENTA,2018,1598 ליטר דיזל,"120,000",2,אוטומטי,לבן,ליסינג,3 חודשים,"‏2,019 ₪",136500
279,ניסאן X TRAIL ACENTA,2018,1598 ליטר דיזל,"120,000",2,אוטומטי,לבן,ליסינג,3 חודשים,"‏2,019 ₪",136500
280,ניסאן X TRAIL ACENTA,2018,1598 ליטר דיזל,"120,000",2,אוטומטי,לבן,ליסינג,3 חודשים,"‏2,019 ₪",136500
281,יונדאי סונטה HYBRID PREMIUM,2017,1999 ליטר בנזין,"102,000",2,אוטומטי,לבן,השכרה,1 חודשים,"‏2,019 ₪",102000
282,יונדאי I30 INSPIRE,2015,1591 ליטר בנזין,"195,000",2,אוטומטי,כסף,ליסינג,12 חודשים,"‏1,424 ₪",45000
283,יונדאי I30 INSPIRE,2015,1591 ליטר בנזין,"195,000",2,אוטומטי,כסף,ליסינג,12 חודשים,"‏1,424 ₪",45000
284,פיאט דובלו COMBI,2018,1248 ליטר דיזל,"104,000",1,ידני,לבן,ליסינג,2 חודשים,"‏1,604 ₪",55250
285,ב.מ.וו iX3 IMPRESSIVE,2021,חשמלי,0,1,אוטומטי,שחור,ליסינג,7 חודשים,"‏4,731 ₪",429000
286,יונדאי אלנטרה GL,2016,1591 ליטר בנזין,"201,000",1,אוטומטי,כסף,ליסינג,8 חודשים,"‏1,604 ₪",58000
287,שברולט ספארק LT,2018,1399 ליטר בנזין,"45,050",2,אוטומטי,שחור מטלי,פרטית,3 חודשים,"‏1,102 ₪",50000
288,שברולט ספארק LT,2018,1399 ליטר בנזין,"45,050",2,אוטומטי,שחור מטלי,פרטית,3 חודשים,"‏1,102 ₪",50000
289,מרצדס GLE 350D 4MATIC EXCLUSIVEFLT,2020,2925 ליטר דיזל,"30,000",2,אוטומטי,לבן,פרטית,3 חודשים,"‏4,731 ₪",505000
290,סקודה סופרב AMBITION,2018,1798 ליטר בנזין,"101,807",1,אוטומטי,אפור,ליסינג,1 חודשים,"‏2,019 ₪",120409
291,סקודה סופרב AMBITION,2018,1798 ליטר בנזין,"101,807",1,אוטומטי,אפור,ליסינג,1 חודשים,"‏2,019 ₪",120409
292,סקודה סופרב AMBITION,2018,1798 ליטר בנזין,"101,807",1,אוטומטי,אפור,ליסינג,1 חודשים,"‏2,019 ₪",120409
293,ניסאן X TRAIL VISIA,2017,1598 ליטר דיזל,"108,000",2,אוטומטי,לבן,פרטית,1 חודשים,"‏2,019 ₪",110000
294,ניסאן X TRAIL VISIA,2017,1598 ליטר דיזל,"108,000",2,אוטומטי,לבן,פרטית,1 חודשים,"‏2,019 ₪",110000
295,אופל אסטרה סטיישן ENJOY,2015,1364 ליטר בנזין,"161,000",1,אוטומטי,אדום,ליסינג,5 חודשים,"‏1,424 ₪",36500
296,ב.מ.וו iX3 IMPRESSIVE,2021,חשמלי,0,1,אוטומטי,שחור,ליסינג,6 חודשים,"‏4,731 ₪",425000
297,ב.מ.וו iX3 IMPRESSIVE,2021,חשמלי,0,1,אוטומטי,שחור,ליסינג,6 חודשים,"‏4,731 ₪",425000
298,ב.מ.וו iX3 IMPRESSIVE,2021,חשמלי,0,1,אוטומטי,שחור,ליסינג,6 חודשים,"‏4,731 ₪",425000
299,ניסאן סנטרה SV,2021,1997 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,4 חודשים,"‏1,811 ₪",129990
300,מאזדה 6 SIGNATURE,2021,2488 ליטר בנזין,0,1,אוטומטי,שחור,פרטית,3 חודשים,"‏2,417 ₪",195000
301,קיה ספורטז' TURBO TOP,2021,1591 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,6 חודשים,"‏2,130 ₪",162000
302,שברולט ספארק LT PLUS,2021,1399 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,3 חודשים,"‏1,235 ₪",83500
303,שברולט ספארק LT PLUS,2021,1399 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,3 חודשים,"‏1,235 ₪",83500
304,שברולט ספארק LT PLUS,2021,1399 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,3 חודשים,"‏1,235 ₪",83500
305,שברולט ספארק LT PLUS,2021,1399 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,3 חודשים,"‏1,235 ₪",83500
306,שברולט ספארק LT PLUS,2021,1399 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,3 חודשים,"‏1,235 ₪",83500
307,שברולט ספארק LT PLUS,2021,1399 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,3 חודשים,"‏1,235 ₪",83500
308,שברולט ספארק LT PLUS,2021,1399 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,3 חודשים,"‏1,235 ₪",83500
309,שברולט ספארק LT PLUS,2021,1399 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,3 חודשים,"‏1,235 ₪",83500
310,דאצ'יה לוגאן LAUREATE,2018,1461 ליטר דיזל,"102,000",1,ידני,לבן,פרטית,3 חודשים,"‏1,102 ₪",45000
311,מרצדס GLA קלאס GLA200 PREMIUM FLT,2022,1332 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,11 חודשים,"‏4,731 ₪",350000
312,קיה פיקנטו LX,2017,1248 ליטר בנזין,"67,000",2,אוטומטי,לבן,פרטית,3 חודשים,"‏1,102 ₪",56000
313,פיאט 500 1.2 LOUNGE,2013,1242 ליטר בנזין,"88,000",3,אוטומטי,לבן,פרטית,5 חודשים,"‏1,205 ₪",34900
314,מאזדה 6 SIGNATURE,2019,2488 ליטר בנזין,"90,000",1,אוטומטי,אפור כהה מטלי,ליסינג,5 חודשים,"‏2,417 ₪",157900
315,סקודה סופרב AMBITION,2018,1395 ליטר בנזין,"109,000",2,אוטומטי,קפה מטאלי,ליסינג,4 חודשים,"‏2,019 ₪",112900
316,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"105,359",1,אוטומטי,לבן,ליסינג,3 חודשים,"‏1,811 ₪",102900
317,רנו גראנד קופה INTENSE,2019,1461 ליטר דיזל,"166,909",1,אוטומטי,אפור מטאלי,ליסינג,11 חודשים,"‏1,604 ₪",84900
318,דאצ'יה לוגאן LAUREATE,2016,1461 ליטר דיזל,"145,000",1,אוטומטי,לבן,חברה,10 חודשים,"‏1,102 ₪",36000
319,טויוטה יאריס HYBRID ECO,2018,1497 ליטר בנזין,"125,000",1,אוטומטי,לבן,ליסינג,9 חודשים,"‏1,353 ₪",75900
320,פורד אקספלורר LUXURY,2016,3497 ליטר בנזין,"105,000",2,אוטומטי,כסף מטלי,פרטית,2 חודשים,"‏3,357 ₪",169900
321,יונדאי I20 INSPIRE,2012,1396 ליטר בנזין,"177,000",3,אוטומטי,כסף,ליסינג,5 חודשים,"‏1,205 ₪",26900
322,סוזוקי איגניס GLX HYBRID,2020,1197 ליטר בנזין,"13,422",1,ידני,אפור מטאלי,פרטית,9 חודשים,"‏1,235 ₪",83900
323,ניסאן קשקאי VISIA,2015,1197 ליטר בנזין,"65,300",2,אוטומטי,אפור מטאלי,פרטית,9 חודשים,"‏1,584 ₪",77900
324,יונדאי גטס GLF,2007,1399 ליטר בנזין,"210,000",2,אוטומטי,כסף,ליסינג,3 חודשים,"‏1,074 ₪",11500
325,שברולט טראקס LT,2014,1796 ליטר בנזין,"134,000",1,אוטומטי,אפור,פרטית,3 חודשים,"‏1,424 ₪",46000
326,אאודי Q5 LUXURY,2009,1984 ליטר בנזין,"167,000",4,אוטומטי,אפור,פרטית,4 חודשים,"‏1,726 ₪",66900
327,סיאט ארונה FR,2020,999 ליטר בנזין,"19,016",1,אוטומטי,שחור,פרטית,5 חודשים,"‏1,529 ₪",119900
328,סיאט ארונה FR,2020,999 ליטר בנזין,"19,016",1,אוטומטי,שחור,פרטית,5 חודשים,"‏1,529 ₪",119900
329,קיה פורטה LX,2012,1591 ליטר בנזין,"137,000",2,אוטומטי,כסף מטלי,ליסינג,9 חודשים,"‏1,424 ₪",36900
330,ניסאן מיקרה VISIA,2016,1198 ליטר בנזין,"169,000",1,ידני,בורדו,פרטית,3 חודשים,"‏1,102 ₪",23000
331,ניסאן מיקרה VISIA,2016,1198 ליטר בנזין,"169,000",1,ידני,בורדו,פרטית,3 חודשים,"‏1,102 ₪",23000
332,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"82,244",1,אוטומטי,כסוף,ליסינג,1 חודשים,"‏1,811 ₪",98900
333,פורשה פאנאמרה LUXURY,2011,3605 ליטר בנזין,"150,000",7,אוטומטי,לבן,פרטית,1 חודשים,"‏1,726 ₪",140000
334,רנו קליאו LIFE,2019,1197 ליטר בנזין,"45,850",1,אוטומטי,לבן,ליסינג,1 חודשים,"‏1,235 ₪",73250
335,מאזדה CX-30 EXECUTIVE,2022,1998 ליטר בנזין,0,1,אוטומטי,כחול,ייבוא אישי,11 חודשים,"‏2,130 ₪",167900
336,קיה סלטוס EX,2021,1999 ליטר בנזין,"1,971",1,אוטומטי,שחור,פרטית,6 חודשים,"‏1,811 ₪",141900
337,טויוטה אוריס HYBRID,2018,1798 ליטר בנזין,"104,021",1,אוטומטי,אפור מטאלי,פרטית,8 חודשים,"‏1,604 ₪",93900
338,טויוטה RAV4 EXPERIENCE,2020,1987 ליטר בנזין,"26,232",1,אוטומטי,לבן,פרטית,11 חודשים,"‏2,417 ₪",179900
339,מיני קופר S CHILLI,2018,1998 ליטר בנזין,"47,000",1,אוטומטי,אפור,פרטית,4 חודשים,"‏2,563 ₪",155000
340,הונדה ג'אז TREND,2019,1318 ליטר בנזין,"86,039",1,אוטומטי,לבן,ליסינג,11 חודשים,"‏1,353 ₪",79900
341,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"141,819",1,אוטומטי,שחור,ליסינג,1 חודשים,"‏1,811 ₪",88900
342,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"120,295",1,אוטומטי,אפור,ליסינג,1 חודשים,"‏1,811 ₪",91900
343,קיה נירו EX,2019,1580 ליטר בנזין,"130,037",1,אוטומטי,כסוף,ליסינג,11 חודשים,"‏1,604 ₪",97900
344,יונדאי טוסון PREMIUM,2016,1999 ליטר בנזין,"74,000",2,אוטומטי,אפור כהה מטלי,פרטית,3 חודשים,"‏1,835 ₪",93999
345,יונדאי טוסון PREMIUM,2016,1999 ליטר בנזין,"74,000",2,אוטומטי,אפור כהה מטלי,פרטית,3 חודשים,"‏1,835 ₪",93999
346,סקודה ראפיד AMBITION,2018,1395 ליטר בנזין,"150,000",1,אוטומטי,לבן,ליסינג,7 חודשים,"‏1,353 ₪",56500
347,סקודה ראפיד AMBITION,2018,1395 ליטר בנזין,"150,000",1,אוטומטי,לבן,ליסינג,7 חודשים,"‏1,353 ₪",56500
348,יונדאי IX35 SUPREME,2012,1998 ליטר בנזין,"143,000",3,אוטומטי,כסף,פרטית,10 חודשים,"‏1,693 ₪",57000
349,פיג'ו 301 ACTIVE,2017,1587 ליטר בנזין,"135,308",1,אוטומטי,כסוף,השכרה,1 חודשים,"‏1,353 ₪",43453
350,פיאט טיפו COMFORT,2018,1598 ליטר בנזין,"146,632",1,אוטומטי,אפור,ליסינג,1 חודשים,"‏1,353 ₪",51500
351,פיאט טיפו COMFORT,2018,1598 ליטר בנזין,"146,632",1,אוטומטי,אפור,ליסינג,1 חודשים,"‏1,353 ₪",51500
352,פיאט טיפו COMFORT,2018,1598 ליטר בנזין,"146,632",1,אוטומטי,אפור,ליסינג,1 חודשים,"‏1,353 ₪",51500
353,פיאט טיפו COMFORT,2018,1598 ליטר בנזין,"146,632",1,אוטומטי,אפור,ליסינג,1 חודשים,"‏1,353 ₪",51500
354,פיאט טיפו COMFORT,2018,1598 ליטר בנזין,"146,632",1,אוטומטי,אפור,ליסינג,1 חודשים,"‏1,353 ₪",51500
355,רנו גראנד קופה INTENSE,2018,1461 ליטר דיזל,"128,000",1,אוטומטי,אפור כהה מטלי,ליסינג,9 חודשים,"‏1,604 ₪",91900
356,סקודה אוקטביה AMBITION,2018,1395 ליטר בנזין,"92,000",2,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,604 ₪",108000
357,סקודה קודיאק STYLE,2017,1984 ליטר בנזין,"105,000",2,אוטומטי,אפור בהיר מטלי,ליסינג,6 חודשים,"‏2,563 ₪",170000
358,טויוטה יאריס SOL,2009,1329 ליטר בנזין,"180,001",3,אוטומטי,לבן,ליסינג,6 חודשים,"‏1,074 ₪",26000
359,טויוטה יאריס SOL,2009,1329 ליטר בנזין,"180,001",3,אוטומטי,לבן,ליסינג,6 חודשים,"‏1,074 ₪",26000
360,פיג'ו 301 ACTIVE,2017,1587 ליטר בנזין,"137,560",1,אוטומטי,אפור,השכרה,1 חודשים,"‏1,353 ₪",43450
361,מיצובישי אקליפס קרוס INSTYLE,2018,1499 ליטר בנזין,"120,000",2,אוטומטי,כסוף כהה מטלי,ליסינג,6 חודשים,"‏1,835 ₪",125000
362,סקודה סופרב L AND K,2017,1984 ליטר בנזין,"96,000",3,אוטומטי,אפור כהה,ליסינג,12 חודשים,"‏2,563 ₪",144000
363,סקודה קודיאק EXCLUSIVE,2019,1968 ליטר דיזל,"45,000",1,אוטומטי,אפור כהה,חברה,11 חודשים,"‏2,563 ₪",204900
364,פיג'ו 308 COMFORT PLUS,2010,1598 ליטר בנזין,"140,000",5,אוטומטי,שחור מטלי,פרטית,1 חודשים,"‏1,262 ₪",18000
365,דאצ'יה סנדרו LAUREATE,2015,898 ליטר בנזין,"107,000",1,ידני,לבן,פרטית,5 חודשים,‏985 ₪,27000
366,רנו קפצ'ור INTENSE,2019,1197 ליטר בנזין,"19,000",1,אוטומטי,קרם,פרטית,4 חודשים,"‏1,811 ₪",87000
367,ניסאן ג'וק ACENTA,2015,1598 ליטר בנזין,"60,000",3,אוטומטי,צהוב מטאלי,פרטית,5 חודשים,"‏1,424 ₪",53000
368,רנו קנגו UTHENTIC 2SD,2016,1461 ליטר דיזל,"225,000",1,ידני,לבן,פרטית,3 חודשים,"‏1,604 ₪",34500
369,סיטרואן ברלינגו COMFORT PLUS,2018,1560 ליטר דיזל,"207,000",3,ידני,לבן,פרטית,11 חודשים,"‏1,604 ₪",63000
370,סיטרואן ברלינגו COMFORT PLUS,2018,1560 ליטר דיזל,"207,000",3,ידני,לבן,פרטית,11 חודשים,"‏1,604 ₪",63000
371,אופל אסטרה ENJOY,2011,1598 ליטר בנזין,"134,000",2,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,262 ₪",19900
372,ב.מ.וו סדרה 5 530E iPERFORMANCE EXCLUSIVE,2017,1998 ליטר חשמל/בנזין,"50,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,357 ₪",299999
373,ב.מ.וו סדרה 5 530E iPERFORMANCE EXCLUSIVE,2017,1998 ליטר חשמל/בנזין,"50,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,357 ₪",299999
374,ב.מ.וו סדרה 5 530E iPERFORMANCE EXCLUSIVE,2017,1998 ליטר חשמל/בנזין,"50,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,357 ₪",299999
375,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"68,508",1,אוטומטי,כסוף,ליסינג,5 חודשים,"‏1,811 ₪",99900
376,מיצובישי אאוטלנדר INTENSE,2018,1998 ליטר בנזין,"162,180",1,אוטומטי,לבן,ליסינג,8 חודשים,"‏2,019 ₪",114900
377,טויוטה RAV4 HYBRID PREMIUM,2016,2494 ליטר בנזין,"117,000",1,אוטומטי,שחור מטלי,פרטית,5 חודשים,"‏2,019 ₪",119900
378,פולקסווגן גולף HIGHLINE,2010,1390 ליטר בנזין,"175,000",3,אוטומטי,שחור,פרטית,6 חודשים,"‏1,427 ₪",36000
379,יונדאי טוסון LUXURY,2021,1598 ליטר בנזין,"5,000",1,אוטומטי,שחור מטלי,פרטית,3 חודשים,"‏2,417 ₪",169900
380,ניסאן מיקרה VISIA,2018,1198 ליטר בנזין,"88,000",1,אוטומטי,כסף,ליסינג,8 חודשים,"‏1,102 ₪",49900
381,ב.מ.וו סדרה 5 530E iPERFORMANCE EXCLUSIVE,2018,1998 ליטר חשמל/בנזין,"49,586",4,אוטומטי,אפור מטל,פרטית,4 חודשים,"‏3,357 ₪",315000
382,טויוטה פרואייס LONG,2017,1997 ליטר דיזל,"166,000",1,ידני,לבן,ליסינג,5 חודשים,"‏2,563 ₪",150000
383,טויוטה פרואייס LONG,2017,1997 ליטר דיזל,"166,000",1,ידני,לבן,ליסינג,5 חודשים,"‏2,563 ₪",150000
384,יונדאי טוסון OPEN SKY,2016,1999 ליטר בנזין,"120,000",3,אוטומטי,שחור,פרטית,1 חודשים,"‏2,019 ₪",100000
385,קאדילאק ATS LUXURY,2019,1998 ליטר בנזין,"45,000",2,אוטומטי,לבן,פרטית,2 חודשים,"‏3,366 ₪",189900
386,טויוטה RAV4 HYBRID E-MOTION,2019,2487 ליטר בנזין,"94,000",2,אוטומטי,לבן,פרטית,5 חודשים,"‏2,417 ₪",195000
387,טויוטה RAV4 HYBRID E-MOTION,2019,2487 ליטר בנזין,"94,000",2,אוטומטי,לבן,פרטית,5 חודשים,"‏2,417 ₪",195000
388,טויוטה RAV4 HYBRID E-MOTION,2019,2487 ליטר בנזין,"94,000",2,אוטומטי,לבן,פרטית,5 חודשים,"‏2,417 ₪",195000
389,טויוטה RAV4 HYBRID E-MOTION,2019,2487 ליטר בנזין,"94,000",2,אוטומטי,לבן,פרטית,5 חודשים,"‏2,417 ₪",195000
390,קיה נירו PHEV LX,2020,1580 ליטר חשמל/בנזין,"76,978",1,אוטומטי,לבן,ליסינג,6 חודשים,"‏2,130 ₪",132900
391,קיה נירו PHEV LX,2020,1580 ליטר חשמל/בנזין,"76,978",1,אוטומטי,לבן,ליסינג,6 חודשים,"‏2,130 ₪",132900
392,פיג'ו 301 ACTIVE,2016,1199 ליטר בנזין,"68,000",3,אוטומטי,לבן,פרטית,4 חודשים,"‏1,102 ₪",34900
393,איסוזו D-Max S,2018,1898 ליטר דיזל,"62,000",1,ידני,לבן,ליסינג,2 חודשים,"‏2,563 ₪",157000
394,מאזדה 3 COMFORT,2017,1998 ליטר בנזין,"132,000",2,אוטומטי,לבן,פרטית,7 חודשים,"‏1,604 ₪",83000
395,קיה פיקנטו LX,2018,1248 ליטר בנזין,"53,000",2,אוטומטי,כסף מטלי,פרטית,8 חודשים,"‏1,102 ₪",59500
396,קיה פיקנטו LX,2018,1248 ליטר בנזין,"53,000",2,אוטומטי,כסף מטלי,פרטית,8 חודשים,"‏1,102 ₪",59500
397,קיה פיקנטו LX,2019,1248 ליטר בנזין,"82,961",1,אוטומטי,כסוף,השכרה,2 חודשים,"‏1,235 ₪",73938
398,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"79,596",1,אוטומטי,שחור מטאלי,ליסינג,1 חודשים,"‏1,811 ₪",107000
399,טויוטה יאריס HYBRID,2013,1497 ליטר בנזין,"169,000",1,אוטומטי,לבן,פרטית,1 חודשים,"‏1,205 ₪",49900
400,קיה פיקנטו LX,2022,1197 ליטר בנזין,1,1,אוטומטי,כסף,ליסינג,11 חודשים,"‏1,235 ₪",86500
401,מרצדס CLA קלאס CLA250,2020,1991 ליטר בנזין,"24,000",2,אוטומטי,שחור,פרטית,4 חודשים,"‏4,731 ₪",294000
402,לקסוס IS 300H EXECUTIVE 2,2017,2494 ליטר בנזין,"92,000",2,אוטומטי,לבן,פרטית,7 חודשים,"‏2,563 ₪",136900
403,מרצדס GLE 400 4MATIC COUPE AMG,2018,2996 ליטר בנזין,"38,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,357 ₪",429000
404,ניסאן מיקרה VISIA,2011,1198 ליטר בנזין,"165,000",1,אוטומטי,לבן,פרטית,2 חודשים,‏880 ₪,22999
405,ניסאן מיקרה VISIA,2011,1198 ליטר בנזין,"165,000",1,אוטומטי,לבן,פרטית,2 חודשים,‏880 ₪,22999
406,קיה פיקנטו LX,2019,1248 ליטר בנזין,"40,000",1,אוטומטי,לבן,פרטית,1 חודשים,"‏1,235 ₪",65000
407,טויוטה פריוס HYBRID GLI,2008,1497 ליטר בנזין,"228,000",3,אוטומטי,אפור כהה מטלי,פרטית,4 חודשים,"‏1,369 ₪",25000
408,טויוטה פריוס HYBRID GLI,2008,1497 ליטר בנזין,"228,000",3,אוטומטי,אפור כהה מטלי,פרטית,4 חודשים,"‏1,369 ₪",25000
409,מיצובישי אטראז INSTYLE,2016,1193 ליטר בנזין,"185,254",1,אוטומטי,לבן,ליסינג,4 חודשים,"‏1,102 ₪",37974
410,מיצובישי אטראז INSTYLE,2016,1193 ליטר בנזין,"185,254",1,אוטומטי,לבן,ליסינג,4 חודשים,"‏1,102 ₪",37974
411,מיצובישי אטראז INSTYLE,2016,1193 ליטר בנזין,"185,254",1,אוטומטי,לבן,ליסינג,4 חודשים,"‏1,102 ₪",37974
412,סקודה סופרב AMBITION,2017,1395 ליטר בנזין,"165,000",2,אוטומטי,לבן,ליסינג,4 חודשים,"‏2,019 ₪",98000
413,סקודה סופרב AMBITION,2017,1395 ליטר בנזין,"165,000",2,אוטומטי,לבן,ליסינג,4 חודשים,"‏2,019 ₪",98000
414,סקודה סופרב AMBITION,2017,1395 ליטר בנזין,"165,000",2,אוטומטי,לבן,ליסינג,4 חודשים,"‏2,019 ₪",98000
415,טויוטה לנד קרוזר SELECT,2016,2755 ליטר דיזל,"224,000",1,אוטומטי,אפור כהה מטלי,פרטית,12 חודשים,"‏2,397 ₪",260000
416,רנו קליאו LIFE,2016,1197 ליטר בנזין,"131,000",3,אוטומטי,לבן,ליסינג,1 חודשים,"‏1,102 ₪",39000
417,שברולט ספארק LT,2018,1399 ליטר בנזין,"78,000",1,אוטומטי,כסוף בהיר,ליסינג,1 חודשים,"‏1,102 ₪",51900
418,קיה קרניבל EX,2017,3342 ליטר בנזין,"137,000",1,אוטומטי,אפור כהה,פרטית,4 חודשים,"‏2,563 ₪",149770
419,קיה קרניבל EX,2017,3342 ליטר בנזין,"137,000",1,אוטומטי,אפור כהה,פרטית,4 חודשים,"‏2,563 ₪",149770
420,פיג'ו 508 ACTIVE,2015,1598 ליטר בנזין,"149,900",3,אוטומטי,כחול מטל,פרטית,9 חודשים,"‏1,693 ₪",47999
421,יונדאי טוסון OPEN SKY,2017,1999 ליטר בנזין,"69,000",1,אוטומטי,לבן,פרטית,2 חודשים,"‏2,019 ₪",121900
