index,version,CompanyName,year,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,car_length,price
691,סיאט ארונה STYLE,סיאט,2019,999 ליטר בנזין,999,בנזין,"75,000",2,1,שחור,פרטית,4,1529,413.8,94500
692,סיטרואן C3 LIVE,סיטרואן,2017,1199 ליטר בנזין,1199,בנזין,"82,000",1,1,לבן,השכרה,7,1102,399.6,42000
693,מרצדס E קלאס E300 E AMG,מרצדס,2020,1991 ליטר חשמל/בנזין,1991,חשמל/בנזין,"40,000",2,1,לבן,פרטית,1,4731,492.3,429000
694,איסוזו D-Max S,איסוזו,2016,2499 ליטר דיזל,2499,דיזל,"260,000",1,2,לבן,פרטית,11,1693,529.5,97000
695,יונדאי אלנטרה GL,יונדאי,2017,1591 ליטר בנזין,1591,בנזין,"117,000",1,1,כסף,השכרה,1,1604,457.0,65000
696,טויוטה קורולה SUN,טויוטה,2021,1798 ליטר בנזין,1798,בנזין,0,1,1,כסף,פרטית,5,1811,463.0,145000
697,קיה ספורטז' URBAN,קיה,2017,1999 ליטר בנזין,1999,בנזין,"130,000",1,1,לבן,ליסינג,11,1835,448.0,100000
698,פיג'ו 308 SW ACTIVE,פיג'ו,2016,1199 ליטר בנזין,1199,בנזין,"157,000",1,1,אפור,ליסינג,2,1604,425.3,36250
699,סקודה קודיאק AMBITION,סקודה,2019,1498 ליטר בנזין,1498,בנזין,"102,000",1,1,כסף מטלי,פרטית,3,2417,425.3,162500
700,קיה נירו EX,קיה,2018,1580 ליטר בנזין,1580,בנזין,"89,000",1,1,לבן,ליסינג,11,1604,435.5,89000
701,ב.מ.וו סדרה 5 530E iPERFORMANCE EXCLUSIVE,ב.מ.וו,2019,1998 ליטר חשמל/בנזין,1998,חשמל/בנזין,"35,000",2,1,אפור מטל,פרטית,7,4731,493.6,351000
702,ניסאן X TRAIL ACENTA,ניסאן,2020,1749 ליטר דיזל,1749,דיזל,"21,000",2,1,לבן,ליסינג,11,2417,469.0,160000
703,פיג'ו 308 ACTIVE,פיג'ו,2016,1199 ליטר בנזין,1199,בנזין,"119,000",2,1,כחול כהה,ליסינג,3,1604,425.3,45000
704,אאודי Q3 EXECUTIVE,אאודי,2017,1395 ליטר בנזין,1395,בנזין,"60,000",2,1,לבן,פרטית,4,2563,438.8,134000
705,מאזדה 2 DYNAMIC,מאזדה,2008,1498 ליטר בנזין,1498,בנזין,"180,000",2,1,שחור,פרטית,1,1074,388.5,20000
706,טויוטה RAV4 HYBRID EXPERIENCE,טויוטה,2021,2487 ליטר בנזין,2487,בנזין,"10,000",1,1,כסף מטלי,פרטית,3,2417,460.0,192900
707,מיצובישי ASX INSTYLE,מיצובישי,2019,1998 ליטר בנזין,1998,בנזין,"41,100",1,1,לבן,פרטית,11,1604,436.5,114900
708,טויוטה קורולה SUN,טויוטה,2019,1598 ליטר בנזין,1598,בנזין,"65,125",1,1,לבן,ליסינג,7,1811,463.0,99900
709,מאזדה 3 PREMIUM,מאזדה,2016,1998 ליטר בנזין,1998,בנזין,"147,866",1,1,כחול,פרטית,7,1604,458.5,84900
710,מאזדה 3,מאזדה,2020,1998 ליטר בנזין,1998,בנזין,"42,000",2,1,לבן,פרטית,11,2130,466.0,125000
711,סיטרואן C3 COMFORT,סיטרואן,2012,1598 ליטר בנזין,1598,בנזין,"109,323",2,1,אפור,פרטית,1,1205,394.1,31900
712,פיג'ו 208 ACCESS,פיג'ו,2017,1199 ליטר בנזין,1199,בנזין,"105,395",1,1,שחור,השכרה,12,1102,397.3,49512
713,ג'יפ גראנד צ'ירוקי LAREDO,ג'יפ,2017,3604 ליטר בנזין,3604,בנזין,"91,000",2,1,לבן,פרטית,6,3357,482.8,189900
714,סובארו XV 1.6 I,סובארו,2014,1600 ליטר בנזין,1600,בנזין,"165,000",3,1,כסוף מילניום,ליסינג,5,1424,445.0,52000
715,סוזוקי ג'ימני GLX,סוזוקי,2016,1328 ליטר בנזין,1328,בנזין,"185,000",1,1,לבן,פרטית,3,1353,354.5,75900
716,סיאט איביזה AM5,סיאט,2015,1197 ליטר בנזין,1197,בנזין,"150,000",2,1,שחור,ליסינג,4,985,404.3,40500
717,סקודה אוקטביה AMBITION,סקודה,2018,999 ליטר בנזין,999,בנזין,"143,330",1,1,כסוף מטאלי,ליסינג,6,1604,467.0,76900
718,ניסאן X TRAIL TEKNA,ניסאן,2017,1598 ליטר דיזל,1598,דיזל,"97,000",1,1,אפור מטל,פרטית,11,2019,464.0,125000
719,טויוטה קורולה SENSE,טויוטה,2019,1798 ליטר בנזין,1798,בנזין,"44,146",1,1,תכלת מטאלי,פרטית,3,1811,463.0,124900
720,יונדאי איוניק HYBRID PREMIUM,יונדאי,2018,1580 ליטר בנזין,1580,בנזין,"84,000",1,1,כסף מטלי,ליסינג,6,1604,447.0,91000
721,סקודה אוקטביה AMBITION,סקודה,2018,1498 ליטר בנזין,1498,בנזין,"72,664",1,1,כסף מטלי,ליסינג,9,1604,467.0,94900
722,סוזוקי CROSSOVER GLX,סוזוקי,2018,1373 ליטר בנזין,1373,בנזין,"126,493",1,1,לבן,ליסינג,3,1604,430.0,80900
723,סוזוקי SX4 GLA,סוזוקי,2012,1586 ליטר בנזין,1586,בנזין,"141,344",1,1,לבן,פרטית,8,1205,415.0,46900
724,הונדה ג'אז TREND,הונדה,2017,1318 ליטר בנזין,1318,בנזין,"111,130",2,1,לבן,פרטית,2,1353,399.5,68900
725,ניסאן קשקאי ACENTA,ניסאן,2019,1461 ליטר דיזל,1461,דיזל,"34,698",2,1,כסוף מטאלי,פרטית,5,2130,439.4,121900
726,דאצ'יה סנדרו LAUREATE,דאצ'יה,2019,898 ליטר בנזין,898,בנזין,"19,136",2,1,אפור,פרטית,6,1235,405.7,59900
727,סוזוקי CROSSOVER GLX,סוזוקי,2015,1586 ליטר בנזין,1586,בנזין,"107,200",2,1,לבן,פרטית,2,1424,430.0,67900
728,קיה פיקנטו EX,קיה,2017,1248 ליטר בנזין,1248,בנזין,"95,000",2,1,לבן,פרטית,5,1102,359.5,66900
729,מיצובישי ASX INSTYLE,מיצובישי,2019,1998 ליטר בנזין,1998,בנזין,"34,492",1,1,לבן,פרטית,7,1811,436.5,116900
730,קיה פיקנטו LX,קיה,2021,1197 ליטר בנזין,1197,בנזין,0,1,1,לבן,ייבוא אישי,9,1235,359.5,86900
731,קיה ספורטז' URBAN,קיה,2016,1999 ליטר בנזין,1999,בנזין,"67,200",2,1,לבן,פרטית,1,1835,448.0,109900
732,פיג'ו 2008 PREMIUM,פיג'ו,2019,1199 ליטר בנזין,1199,בנזין,"44,610",1,1,אפור,פרטית,2,1529,415.9,86900
733,פורד פוקוס TREND,פורד,2012,1596 ליטר בנזין,1596,בנזין,"123,936",2,1,לבן,פרטית,5,1424,455.6,31900
734,סקודה קארוק AMBITION,סקודה,2019,1598 ליטר דיזל,1598,דיזל,"86,050",1,1,לבן,פרטית,11,1604,438.2,129900
735,סוזוקי CROSSOVER GLX,סוזוקי,2014,1586 ליטר בנזין,1586,בנזין,"94,615",3,1,ירוק בהיר,פרטית,1,1205,430.0,60900
736,מיצובישי אאוטלנדר INTENSE,מיצובישי,2017,1998 ליטר בנזין,1998,בנזין,"118,000",2,1,שחור,פרטית,5,2019,469.5,114900
737,יונדאי סונטה HYBRID PREMIUM,יונדאי,2018,1999 ליטר בנזין,1999,בנזין,"120,137",1,1,אפור,פרטית,4,2019,485.5,102900
738,יונדאי איוניק HYBRID PREMIUM,יונדאי,2018,1580 ליטר בנזין,1580,בנזין,"77,660",1,1,לבן,פרטית,3,1604,447.0,104900
739,הונדה סיוויק COMFORT,הונדה,2018,988 ליטר בנזין,988,בנזין,"54,067",2,1,אפור,פרטית,5,1604,451.8,92900
740,פיג'ו 3008 ACTIVE,פיג'ו,2019,1499 ליטר דיזל,1499,דיזל,"109,971",1,1,אפור,פרטית,11,1835,444.7,118900
741,טויוטה קורולה SUN,טויוטה,2014,1598 ליטר בנזין,1598,בנזין,"118,496",2,1,שחור,פרטית,2,1424,462.0,65900
742,קיה נירו EX,קיה,2018,1580 ליטר בנזין,1580,בנזין,"63,938",1,1,אפור,פרטית,10,1604,435.5,119900
743,מאזדה CX-5 LUXURY,מאזדה,2018,1998 ליטר בנזין,1998,בנזין,"146,172",1,1,שחור,ליסינג,9,2019,455.0,126900
744,ניסאן ג'וק TEKNA,ניסאן,2012,1598 ליטר בנזין,1598,בנזין,"70,396",1,1,שחור,פרטית,4,1584,413.5,56900
745,סיאט איביזה AM5,סיאט,2015,1197 ליטר בנזין,1197,בנזין,"93,882",3,1,אדום,פרטית,2,985,404.3,49900
746,הונדה HR-V COMFORT,הונדה,2017,1498 ליטר בנזין,1498,בנזין,"108,453",1,1,אפור מטאלי,פרטית,10,1604,429.4,96900
747,סובארו XV 1.6I,סובארו,2016,1600 ליטר בנזין,1600,בנזין,"148,633",2,1,אפור,פרטית,5,1604,445.0,74900
748,אינפיניטי Q30 PREMIUM,אינפיניטי,2018,1595 ליטר בנזין,1595,בנזין,"33,416",1,1,שחור,פרטית,3,2019,442.5,134900
749,רנו גראנד קופה INTENSE,רנו,2018,1461 ליטר דיזל,1461,דיזל,"75,607",1,1,שחור,פרטית,8,1604,463.2,104900
750,ניסאן סנטרה SR,ניסאן,2018,1798 ליטר בנזין,1798,בנזין,"117,184",1,1,לבן,השכרה,1,1604,463.5,74900
751,רנו גראנד קופה ZEN,רנו,2018,1197 ליטר בנזין,1197,בנזין,"125,070",1,1,לבן,ליסינג,1,1604,456.7,68900
752,מאזדה 3 ACTIVE,מאזדה,2007,1598 ליטר בנזין,1598,בנזין,"138,536",2,1,כסוף מטאלי,פרטית,3,1074,449.0,28900
753,רנו קליאו LIFE,רנו,2017,1197 ליטר בנזין,1197,בנזין,"138,181",1,1,שחור,השכרה,6,1102,406.3,46900
754,ניסאן מיקרה VISIA,ניסאן,2017,1198 ליטר בנזין,1198,בנזין,"126,177",1,1,לבן,ליסינג,8,1102,382.5,44900
755,קיה ספורטז' URBAN,קיה,2018,1999 ליטר בנזין,1999,בנזין,"62,276",1,1,לבן,פרטית,1,1835,448.0,126900
756,קיה נירו EX,קיה,2017,1580 ליטר בנזין,1580,בנזין,"120,137",1,1,לבן,פרטית,8,1604,435.5,106900
757,סיאט לאון FR,סיאט,2015,1798 ליטר בנזין,1798,בנזין,"110,000",1,1,לבן,פרטית,7,1693,427.1,115000
758,יונדאי איוניק HYBRID,יונדאי,2021,1580 ליטר בנזין,1580,בנזין,"15,000",2,1,כסוף כהה,פרטית,11,1811,447.0,137000
759,קיה נירו EX,קיה,2018,1580 ליטר בנזין,1580,בנזין,"74,678",1,1,לבן,ליסינג,6,1604,435.5,105900
760,יונדאי טוסון OPEN SKY,יונדאי,2017,1999 ליטר בנזין,1999,בנזין,"47,000",3,1,לבן,פרטית,6,2019,447.5,115000
761,סיאט ארונה STYLE,סיאט,2020,999 ליטר בנזין,999,בנזין,"17,000",2,1,לבן,פרטית,4,1529,413.8,105000
762,קיה ספורטז' URBAN,קיה,2018,1999 ליטר בנזין,1999,בנזין,"162,749",1,1,שחור,ליסינג,8,1835,448.0,108900
763,סיאט לאון STYLE,סיאט,2016,1197 ליטר בנזין,1197,בנזין,"119,000",2,1,אפור,פרטית,9,1604,453.5,53000
764,פיאט 500 1.2 MY LOUNGE,פיאט,2015,1242 ליטר בנזין,1242,בנזין,"45,000",3,1,תכלת,פרטית,3,1205,354.6,44000
765,ביואיק לקרוס CXL,ביואיק,2010,3564 ליטר בנזין,3564,בנזין,"150,000",3,1,כסף,פרטית,9,1508,500.1,38000
766,סקודה סופרב STYLE,סקודה,2020,1498 ליטר בנזין,1498,בנזין,"65,000",2,1,אפור,פרטית,10,2417,486.9,196500
767,שברולט טראקס LS,שברולט,2014,1796 ליטר בנזין,1796,בנזין,"157,000",2,1,כסוף בהיר,פרטית,10,1424,424.8,35900
768,הונדה אקורד COMFORT,הונדה,2007,1998 ליטר בנזין,1998,בנזין,"200,000",2,1,כסוף בהיר,פרטית,5,1369,466.5,20000
769,פולקסווגן טרנספורטר D.VAN,פולקסווגן,2016,1968 ליטר דיזל,1968,דיזל,"35,000",2,2,לבן,פרטית,2,2563,490.4,99000
770,סוזוקי סוויפט GLX,סוזוקי,2013,1242 ליטר בנזין,1242,בנזין,"120,000",2,1,כחול,השכרה,4,1205,385.0,40000
771,אאודי A1 LIMITED,אאודי,2018,999 ליטר בנזין,999,בנזין,"40,000",2,1,לבן,פרטית,4,1835,435.1,99000
772,ניסאן מיקרה VISIA,ניסאן,2018,1198 ליטר בנזין,1198,בנזין,"48,000",1,1,שחור מטלי,פרטית,6,1102,382.5,60900
773,סקודה קודיאק AMBITION,סקודה,2019,1968 ליטר דיזל,1968,דיזל,"75,000",2,1,שחור,פרטית,1,2417,382.5,186500
774,רנו מגאן INTENSE,רנו,2019,1461 ליטר דיזל,1461,דיזל,"85,000",1,1,לבן,פרטית,2,1811,463.2,100000
775,שברולט קפטיבה LT,שברולט,2008,1991 ליטר דיזל,1991,דיזל,"236,000",2,1,כסף,פרטית,6,1508,463.6,27500
776,סוזוקי ויטארה GLX,סוזוקי,2021,1373 ליטר בנזין,1373,בנזין,"27,000",1,1,כסף מטלי,פרטית,2,1811,417.5,129999
777,לנד רובר רינג' רובר ספורט PHEV AB DYN,לנד,2020,1997 ליטר חשמל/בנזין,1997,חשמל/בנזין,"45,000",2,1,לבן,פרטית,1,4731,487.9,590000
778,פיאט פנדה DYNAMIC,פיאט,2011,1242 ליטר בנזין,1242,בנזין,"84,000",2,2,צהוב,פרטית,1,880,353.8,13000
779,ג'יפ צ'ירוקי LONGITUDE,ג'יפ,2015,3239 ליטר בנזין,3239,בנזין,"180,000",4,1,לבן,פרטית,6,1962,462.4,79999
780,יונדאי איוניק HYBRID PREMIUM,יונדאי,2019,1580 ליטר בנזין,1580,בנזין,"56,000",1,1,אפור,ליסינג,2,1811,447.0,100000
781,מאזדה 3 SPORT,מאזדה,2017,1998 ליטר בנזין,1998,בנזין,"66,879",2,1,כסף,פרטית,11,1604,458.0,80000
782,מיצובישי אאוטלנדר INSTYLE,מיצובישי,2016,1998 ליטר בנזין,1998,בנזין,"111,111",2,1,כחול כהה,ליסינג,2,2019,469.5,97000
783,מאזדה CX-5 EXECUTIVE,מאזדה,2017,1998 ליטר בנזין,1998,בנזין,"48,000",1,1,כחול כהה,פרטית,7,2019,455.0,130000
784,ב.מ.וו סדרה 4 420I EXECUTIVE,ב.מ.וו,2019,1998 ליטר בנזין,1998,בנזין,"27,000",2,1,אפור בהיר מטלי,פרטית,1,4731,464.0,235900
785,סוזוקי ויטארה GLXV 2T,סוזוקי,2018,1586 ליטר בנזין,1586,בנזין,"76,000",1,1,טורקיז מטאלי,פרטית,3,1604,417.5,100000
786,מיצובישי פאג'רו DAKAR,מיצובישי,2016,3200 ליטר דיזל,3200,דיזל,"185,000",1,1,לבן,פרטית,5,3357,490.0,209000
787,סקודה אוקטביה AMBITION,סקודה,2019,1498 ליטר בנזין,1498,בנזין,"87,000",1,1,אפור בהיר מטלי,ליסינג,1,1811,467.0,95900
788,מיצובישי ASX INSTYLE,מיצובישי,2019,1998 ליטר בנזין,1998,בנזין,"75,000",1,1,לבן,ליסינג,2,1811,436.5,99000
789,טויוטה יאריס SOL,טויוטה,2018,1496 ליטר בנזין,1496,בנזין,"75,000",1,1,לבן,ליסינג,1,1102,394.5,72500
790,ניסאן קשקאי ACENTA,ניסאן,2020,1332 ליטר בנזין,1332,בנזין,"28,000",1,1,אפור,פרטית,11,2130,439.4,133900
791,ניסאן ג'וק VISIA,ניסאן,2012,1598 ליטר בנזין,1598,בנזין,"104,000",3,1,כסף מטלי,ליסינג,9,1424,413.5,46000
792,קיה ספורטז' URBAN,קיה,2018,1999 ליטר בנזין,1999,בנזין,"78,000",1,1,כסף מטלי,פרטית,11,1835,448.0,117000
793,טויוטה קורולה GLI,טויוטה,2016,1598 ליטר בנזין,1598,בנזין,"146,000",1,1,שחור,פרטית,5,1604,462.0,72000
794,יונדאי טוסון SUPREME,יונדאי,2016,1999 ליטר בנזין,1999,בנזין,"188,000",1,1,לבן,פרטית,4,2019,447.5,112500
795,סיטרואן C4 פיקאסו COMFORT PK,סיטרואן,2014,1598 ליטר בנזין,1598,בנזין,"123,000",2,1,שחור,פרטית,10,1693,447.5,46000
796,יונדאי I10 INSIGHT,יונדאי,2015,998 ליטר בנזין,998,בנזין,"88,000",1,2,לבן,פרטית,5,985,366.5,34900
797,מיצובישי ספייס סטאר SUPREME,מיצובישי,2022,1193 ליטר בנזין,1193,בנזין,0,1,1,לבן,פרטית,11,1235,366.5,89000
798,מאזדה 3,מאזדה,2021,1998 ליטר בנזין,1998,בנזין,"20,000",2,1,שחור,פרטית,11,2130,466.0,139000
799,יונדאי טוסון PANORAMIC,יונדאי,2018,1999 ליטר בנזין,1999,בנזין,"110,000",2,1,שחור,פרטית,1,1835,447.5,128500
800,קיה נירו EX,קיה,2018,1580 ליטר בנזין,1580,בנזין,"115,000",1,1,כסף מטלי,השכרה,7,1604,435.5,95000
801,מיצובישי L-200 DESERT,מיצובישי,2016,2442 ליטר דיזל,2442,דיזל,"160,000",2,1,לבן,השכרה,1,2563,520.5,120000
802,ב.מ.וו סדרה 5 530E iPERFORMANCE EXCLUSIVE M,ב.מ.וו,2020,1998 ליטר חשמל/בנזין,1998,חשמל/בנזין,"40,000",1,1,לבן,פרטית,6,4731,493.6,340000
803,סקודה פאביה SPACE AMBITION,סקודה,2015,1197 ליטר בנזין,1197,בנזין,"190,000",1,1,לבן,פרטית,3,1205,425.7,28000
804,רנו מגאן INTENSE,רנו,2020,1461 ליטר דיזל,1461,דיזל,"45,000",1,1,שחור,פרטית,7,1811,463.2,116000
805,קיה ספורטז' URBAN,קיה,2018,1591 ליטר בנזין,1591,בנזין,"140,000",1,1,שחור,ליסינג,8,1604,448.0,102000
806,אופל אסטרה ברלינה ENJOY,אופל,2013,1362 ליטר בנזין,1362,בנזין,"86,000",2,1,שחור מטלי,ליסינג,1,1424,465.8,33999
807,מיצובישי ספייס סטאר PREMIUM,מיצובישי,2020,1193 ליטר בנזין,1193,בנזין,"21,000",1,1,שחור מטלי,פרטית,3,1235,384.5,67000
808,סיאט לאון FR,סיאט,2015,1798 ליטר בנזין,1798,בנזין,"86,000",1,1,טורקיז,פרטית,3,1693,427.1,96000
809,טויוטה RAV4 HYBRID LIMITED,טויוטה,2018,2494 ליטר בנזין,2494,בנזין,"120,000",1,1,לבן,פרטית,9,2019,460.5,168500
810,פיאט דובלו COMBI,פיאט,2018,1248 ליטר דיזל,1248,דיזל,"200,000",1,2,לבן,ליסינג,1,1604,460.5,53000
811,שברולט ספארק LT,שברולט,2016,1399 ליטר בנזין,1399,בנזין,"106,000",1,1,אפור בהיר מטלי,השכרה,3,1102,363.6,42900
812,רנו קנגו AUTHENTIC,רנו,2017,1197 ליטר בנזין,1197,בנזין,200,2,1,לבן,ליסינג,3,1604,428.2,46000
813,פולקסווגן טיגואן COMFORTLINE,פולקסווגן,2017,1395 ליטר בנזין,1395,בנזין,"38,000",2,1,בז מטאלי,פרטית,5,2019,448.6,109000
814,מאזדה 3 SPORT,מאזדה,2019,1998 ליטר בנזין,1998,בנזין,"74,000",1,1,אפור כהה מטלי,ליסינג,1,1811,447.0,95900
815,טויוטה יאריס SOL,טויוטה,2018,1496 ליטר בנזין,1496,בנזין,"72,000",1,1,לבן,השכרה,5,1102,394.5,72000
816,סוזוקי איגניס GLX,סוזוקי,2020,1242 ליטר בנזין,1242,בנזין,"2,000",1,1,לבן,פרטית,7,1235,370.0,81000
817,יונדאי IX35 INSPIRE,יונדאי,2010,1995 ליטר דיזל,1995,דיזל,"235,000",5,1,שחור,פרטית,5,1427,370.0,49000
818,ג'יפ גראנד צ'ירוקי LAREDO,ג'יפ,2011,3604 ליטר בנזין,3604,בנזין,"218,000",2,1,שחור,פרטית,3,1508,482.2,97000
819,יונדאי סנטה פה LUXURY,יונדאי,2011,2349 ליטר בנזין,2349,בנזין,"180,000",3,1,כחול מטל,פרטית,3,1508,466.0,63900
820,סיאט לאון STYLE,סיאט,2016,1197 ליטר בנזין,1197,בנזין,"170,000",1,2,חום בהיר,פרטית,2,1353,453.5,58900
821,סקודה סופרב ELEGANCE,סקודה,2013,1798 ליטר בנזין,1798,בנזין,"200,000",3,1,כסף מטלי,פרטית,11,1693,483.8,34900
822,פולקסווגן גולף GTI,פולקסווגן,2014,1984 ליטר בנזין,1984,בנזין,"128,000",2,2,לבן,פרטית,10,1962,426.8,119990
823,ג'יפ גראנד צ'ירוקי LIMITED,ג'יפ,2015,2987 ליטר דיזל,2987,דיזל,"175,000",2,1,אדום כהה  יין,פרטית,3,2397,482.8,185000
824,מיצובישי אאוטלנדר INTENSE,מיצובישי,2017,1998 ליטר בנזין,1998,בנזין,"56,000",1,1,לבן,פרטית,4,1835,469.5,118000
825,ג'יפ גראנד צ'ירוקי LAREDO,ג'יפ,2013,3604 ליטר בנזין,3604,בנזין,"170,000",2,1,לבן,פרטית,6,2397,482.2,139900
826,סיטרואן ברלינגו MAXI,סיטרואן,2018,1560 ליטר דיזל,1560,דיזל,"144,000",1,2,לבן,ליסינג,5,1604,462.8,82000
827,טויוטה וורסו GLI,טויוטה,2016,1798 ליטר בנזין,1798,בנזין,"177,000",1,1,לבן,חברה,3,1835,446.0,75000
828,טויוטה יאריס SOL,טויוטה,2017,1329 ליטר בנזין,1329,בנזין,"97,000",1,1,לבן,ליסינג,2,1102,395.0,63000
829,רנו פלואנס COMFORT,רנו,2014,1598 ליטר בנזין,1598,בנזין,"155,000",4,1,כסף,ליסינג,5,1424,461.3,35800
830,יונדאי I30 INSPIRE,יונדאי,2011,1591 ליטר בנזין,1591,בנזין,"212,000",2,1,אפור כהה מטלי,פרטית,1,1262,424.5,24900
831,טויוטה קורולה SUN,טויוטה,2017,1598 ליטר בנזין,1598,בנזין,"110,000",2,1,אפור,פרטית,5,1604,462.0,79500
832,מאזדה 2 DYNAMIC,מאזדה,2017,1496 ליטר בנזין,1496,בנזין,"100,000",2,1,שחור,פרטית,2,1353,406.0,68900
833,סיאט איביזה STYLE,סיאט,2016,999 ליטר בנזין,999,בנזין,"58,000",2,1,לבן,פרטית,5,1102,404.3,62500
834,סיאט איביזה STYLE,סיאט,2011,1197 ליטר בנזין,1197,בנזין,"215,000",3,1,צהוב,ליסינג,5,1074,405.2,30000
835,ניסאן מיקרה VISIA,ניסאן,2017,1198 ליטר בנזין,1198,בנזין,"78,000",2,1,שחור מטלי,השכרה,11,1102,382.5,46000
836,קיה ספורטז' URBAN,קיה,2017,1591 ליטר בנזין,1591,בנזין,"130,000",1,1,אפור,ליסינג,3,1604,448.0,86999
837,טויוטה יאריס STYLE,טויוטה,2019,1496 ליטר בנזין,1496,בנזין,"57,000",1,1,לבן,השכרה,1,1529,394.5,84000
838,שברולט מאליבו LT HI- TECH,שברולט,2011,2384 ליטר בנזין,2384,בנזין,"204,000",5,1,חום כהה,פרטית,3,1427,487.2,19000
839,מאזדה 3 COMFORT,מאזדה,2017,1496 ליטר בנזין,1496,בנזין,"105,000",1,1,שחור,פרטית,11,1604,447.0,82500
840,טויוטה C-HR HYBRID CLUB,טויוטה,2018,1798 ליטר בנזין,1798,בנזין,"136,000",1,1,לבן,ליסינג,7,1604,436.0,113000
841,טויוטה RAV4 HYBRID PREMIUM,טויוטה,2016,2494 ליטר בנזין,2494,בנזין,"85,000",2,1,לבן,פרטית,2,2019,460.5,129000
842,ניסאן קשקאי VISIA,ניסאן,2017,1197 ליטר בנזין,1197,בנזין,"69,000",2,1,כסף מטלי,פרטית,4,1835,437.7,91000
843,קיה פיקנטו LX,קיה,2021,1197 ליטר בנזין,1197,בנזין,0,1,1,לבן,פרטית,8,1235,359.5,89000
844,יונדאי I20 GLI,יונדאי,2010,1396 ליטר בנזין,1396,בנזין,"221,000",2,1,כחול מטל,פרטית,8,1074,394.0,17900
845,קיה פיקנטו EX,קיה,2014,1248 ליטר בנזין,1248,בנזין,"100,000",2,1,תכלת,פרטית,4,985,359.5,38900
846,סיטרואן C4 קקטוס FUN,סיטרואן,2017,1199 ליטר בנזין,1199,בנזין,"90,000",1,2,שחור,השכרה,8,1102,415.7,52000
847,מאזדה CX-5 EXECUTIVE,מאזדה,2021,1998 ליטר בנזין,1998,בנזין,0,1,1,שחור,פרטית,7,2417,455.0,179900
848,קיה פיקנטו LX,קיה,2021,1197 ליטר בנזין,1197,בנזין,0,1,1,לבן,פרטית,6,1235,359.5,88000
849,קיה נירו EX,קיה,2018,1580 ליטר בנזין,1580,בנזין,"124,000",1,1,כסף,ליסינג,2,1604,435.5,89000
850,ב.מ.וו סדרה 5 530E iPERFORMANCE EXCLUSIVE,ב.מ.וו,2019,1998 ליטר חשמל/בנזין,1998,חשמל/בנזין,"45,000",2,1,שחור מטלי,פרטית,7,4731,493.6,345000
851,מרצדס AMG GT43 4MATIC,מרצדס,2021,2999 ליטר בנזין,2999,בנזין,0,1,1,שחור,פרטית,2,4731,493.6,879000
852,שברולט אימפלה LTZ,שברולט,2017,3564 ליטר בנזין,3564,בנזין,"98,000",2,1,לבן,פרטית,2,2563,511.3,119000
853,רנו קליאו EX PACK PLUS,רנו,2018,1461 ליטר דיזל,1461,דיזל,"151,333",1,1,לבן,ליסינג,6,1353,426.7,47900
854,רנו קליאו LIFE,רנו,2018,1197 ליטר בנזין,1197,בנזין,"142,000",1,1,לבן,ליסינג,11,1102,406.3,39900
855,הונדה ג'אז COMFORT,הונדה,2018,1318 ליטר בנזין,1318,בנזין,"133,000",1,1,שחור,ליסינג,4,1353,399.5,63000
856,יונדאי IX35 PRIME,יונדאי,2013,1998 ליטר בנזין,1998,בנזין,"155,000",2,1,שחור מטלי,פרטית,2,1584,441.0,61000
857,יונדאי איוניק HYBRID SUPREME,יונדאי,2018,1580 ליטר בנזין,1580,בנזין,"96,411",1,1,כסוף,ליסינג,11,1604,447.0,94900
858,סקודה אוקטביה AMBITION,סקודה,2018,999 ליטר בנזין,999,בנזין,"110,000",1,1,אפור בהיר מטלי,ליסינג,9,1604,467.0,84000
859,פיג'ו 108 TOP ACTIVE,פיג'ו,2017,998 ליטר בנזין,998,בנזין,"90,000",2,1,סגול,ליסינג,5,1102,347.5,45000
860,אאודי Q2 LUXURY,אאודי,2017,1395 ליטר בנזין,1395,בנזין,"92,000",1,1,לבן,פרטית,1,2563,419.1,127000
861,יונדאי סונטה HYBRID PREMIUM,יונדאי,2019,1999 ליטר בנזין,1999,בנזין,"98,000",1,1,אפור בהיר מטלי,ליסינג,11,2019,485.5,112000
862,טויוטה קורולה SUN,טויוטה,2014,1598 ליטר בנזין,1598,בנזין,"170,000",2,1,לבן,ליסינג,6,1424,462.0,57000
863,מאזדה 3 COMFORT,מאזדה,2010,1598 ליטר בנזין,1598,בנזין,"152,000",2,1,כסף מטלי,פרטית,11,1262,458.0,29900
864,שברולט טראקס LT,שברולט,2014,1364 ליטר בנזין,1364,בנזין,"148,000",1,1,לבן,פרטית,6,1584,424.8,51900
865,פיג'ו 208 ACCESS,פיג'ו,2017,1199 ליטר בנזין,1199,בנזין,"92,000",1,1,אפור כהה,השכרה,12,1102,397.3,41000
866,אאודי Q3 DESIGN,אאודי,2014,1984 ליטר בנזין,1984,בנזין,"118,000",2,1,לבן,פרטית,2,1962,438.5,89900
867,סוזוקי ויטארה GLXV,סוזוקי,2018,1586 ליטר בנזין,1586,בנזין,"69,076",1,1,לבן,פרטית,10,1604,417.5,104900
868,ניסאן מיקרה VISIA,ניסאן,2018,1198 ליטר בנזין,1198,בנזין,"80,178",1,1,כסוף מטאלי,ליסינג,5,1102,382.5,57900
