index,version,CompanyName,year,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,car_length,price
41,טויוטה C-HR HYBRID CHIC,טויוטה,2018,1798 ליטר בנזין,1798,בנזין,"84,000",2,1,כסף מטלי,ליסינג,10,1835,436.0,121000
42,טויוטה קורולה SUN,טויוטה,2017,1598 ליטר בנזין,1598,בנזין,"151,000",1,1,אפור בהיר מטלי,השכרה,1,1604,462.0,72000
43,קיה ספורטז' LX,קיה,2012,1998 ליטר בנזין,1998,בנזין,"154,000",2,1,לבן,ליסינג,1,1693,444.0,53000
44,יונדאי IX35 INSPIRE,יונדאי,2011,1998 ליטר בנזין,1998,בנזין,"160,000",1,1,שחור,פרטית,6,1427,441.0,61900
45,מאזדה 3 COMFORT,מאזדה,2015,1496 ליטר בנזין,1496,בנזין,"40,000",1,1,חום כהה,פרטית,9,1424,458.5,77000
46,שברולט אקוינוקס,שברולט,2020,1490 ליטר בנזין,1490,בנזין,"35,000",1,1,לבן,פרטית,5,2417,465.2,135000
47,סיאט ארונה FR,סיאט,2020,999 ליטר בנזין,999,בנזין,"14,370",1,1,כסוף מטאלי,פרטית,7,1529,413.8,119900
48,יונדאי אלנטרה GL,יונדאי,2016,1591 ליטר בנזין,1591,בנזין,"110,000",2,1,כסף,ליסינג,6,1604,457.0,66000
49,יונדאי טוסון SUPREME,יונדאי,2017,1999 ליטר בנזין,1999,בנזין,"99,000",1,1,בז מטאלי,פרטית,10,2019,447.5,119000
50,פיג'ו 208 ACTIVE PRO,פיג'ו,2018,1199 ליטר בנזין,1199,בנזין,"40,000",1,1,שחור,פרטית,1,1353,397.3,66000
51,סקודה אוקטביה AMBITION,סקודה,2013,1197 ליטר בנזין,1197,בנזין,"178,000",2,1,קפה מטאלי,ליסינג,1,1424,456.9,22999
52,ניסאן X TRAIL VISIA,ניסאן,2017,1598 ליטר דיזל,1598,דיזל,"160,000",2,1,לבן,פרטית,1,2019,464.0,104999
53,יונדאי I25 INSPIRE,יונדאי,2013,1396 ליטר בנזין,1396,בנזין,"240,000",3,1,לבן,פרטית,5,1205,437.0,25000
54,טויוטה קורולה סטיישן SPACE,טויוטה,2019,1798 ליטר בנזין,1798,בנזין,"94,000",1,1,כסף,ליסינג,9,1811,465.0,105000
55,יונדאי טוסון ELITE,יונדאי,2020,1999 ליטר בנזין,1999,בנזין,"22,000",1,1,אפור,פרטית,11,2417,448.0,157000
56,קיה פיקנטו EX,קיה,2020,1248 ליטר בנזין,1248,בנזין,"9,400",1,1,שחור מטלי,פרטית,3,1235,359.5,77999
57,פיג'ו 3008 ACTIVE,פיג'ו,2018,1598 ליטר בנזין,1598,בנזין,"43,000",2,1,אפור,פרטית,6,1835,444.7,115900
58,פולקסווגן גולף TRENDLINE,פולקסווגן,2016,1395 ליטר בנזין,1395,בנזין,"131,000",2,1,לבן,פרטית,7,1604,425.5,67900
59,ניסאן ג'וק ACENTA,ניסאן,2012,1598 ליטר בנזין,1598,בנזין,"159,000",3,1,שחור מטלי,פרטית,5,1424,413.5,37000
60,ג'יפ רנגלר UNLIM RUBICON,ג'יפ,2021,1995 ליטר בנזין,1995,בנזין,"9,000",2,1,שחור מטלי,פרטית,2,4731,488.2,420000
61,פורד מוסטנג ECOBOOST,פורד,2021,2261 ליטר בנזין,2261,בנזין,"1,800",1,1,שחור מטלי,פרטית,10,3366,488.2,275000
62,קיה פיקנטו LX,קיה,2014,1248 ליטר בנזין,1248,בנזין,"140,000",1,1,לבן,פרטית,1,985,359.5,34900
63,קיה פיקנטו GT LINE,קיה,2019,1248 ליטר בנזין,1248,בנזין,"50,000",2,1,אדום שחור,פרטית,1,1235,359.5,70000
64,יונדאי סונטה HYBRID PREMIUM,יונדאי,2018,1999 ליטר בנזין,1999,בנזין,"212,000",1,1,לבן,ליסינג,7,2019,485.5,91999
65,יונדאי I20 INSPIRE,יונדאי,2012,1396 ליטר בנזין,1396,בנזין,"134,000",2,1,לבן,ליסינג,3,1205,399.5,30000
66,פולקסווגן T-CROSS FORLINE PLUS,פולקסווגן,2021,999 ליטר בנזין,999,בנזין,"18,000",1,1,לבן,פרטית,2,1811,410.8,121000
67,סקודה אוקטביה AMBITION,סקודה,2019,999 ליטר בנזין,999,בנזין,"60,000",1,1,אפור בהיר מטלי,ליסינג,1,1811,410.8,89900
68,שברולט טראקס LT,שברולט,2016,1364 ליטר בנזין,1364,בנזין,"52,000",2,1,לבן,פרטית,11,1424,424.7,70000
69,פולקסווגן גולף TRENDLINE,פולקסווגן,2010,1595 ליטר בנזין,1595,בנזין,"196,000",2,1,כחול כהה,פרטית,4,1262,419.9,22000
