index,version,CompanyName,year,is_GAC,is_maserati,is_daihatsu,is_porsche,is_ds,is_smart,is_seres,is_cadillac,is_דודג',is_infinity,is_alfa-romeo,is_buick,is_sangiang,is_mini,is_dacia,is_landrover,is_volvo,is_chrysler,is_opel,is_isuzu,is_mercedes,is_lexus,is_audi,is_citroen,is_bmw,is_mitsubishi,is_subaru,is_ford,is_jeep,is_volkswagen,is_suzuki,is_peugeot,is_reno,is_tesla,is_nissan,is_chevrolet,is_mazda,is_skoda,is_MG,is_hyundai,is_siat,is_fiat,is_honda,is_kia,is_toyota,is_cupra,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,is_private_import,is_rented,is_leasing,is_company,is_private,next_test_in,annual_licensing_fee,car_length,size,large,small,mini,medium
2787,יונדאי איוניק HYBRID PREMIUM,יונדאי,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1580 ליטר בנזין,1580,בנזין,69805,1,1,כסוף,ליסינג,0,0,1,0,0,2,1811,447.0,medium,0,0,0,1
900,וולבו XC40 T5 MOMENTUM,וולבו,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969 ליטר בנזין,1969,בנזין,35567,1,1,אפור מטאלי,פרטית,0,0,0,0,1,8,2563,447.5,medium,0,0,0,1
1862,פיג'ו 301 ACTIVE,פיג'ו,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587 ליטר בנזין,1587,בנזין,118003,1,1,אפור,השכרה,0,1,0,0,0,1,1353,444.2,medium,0,0,0,1
472,יונדאי סנטה פה LUXURY,יונדאי,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2199 ליטר דיזל,2199,דיזל,295000,3,1,אפור כהה,פרטית,0,0,0,0,1,5,1508,466.0,medium,0,0,0,1
1078,דאצ'יה סנדרו LAUREATE,דאצ'יה,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898 ליטר בנזין,898,בנזין,40000,1,1,לבן,פרטית,0,0,0,0,1,4,1235,405.7,small,0,1,0,0
2547,סיטרואן ברלינגו LIVE,סיטרואן,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499 ליטר דיזל,1499,דיזל,131000,1,2,לבן,ליסינג,0,0,1,0,0,6,1811,440.3,medium,0,0,0,1
44,יונדאי IX35 INSPIRE,יונדאי,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1998 ליטר בנזין,1998,בנזין,160000,1,1,שחור,פרטית,0,0,0,0,1,6,1427,441.0,medium,0,0,0,1
289,ניסאן מיקרה VISIA,ניסאן,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1198 ליטר בנזין,1198,בנזין,51000,2,1,כסוף בהיר,פרטית,0,0,0,0,1,1,1102,382.5,small,0,1,0,0
912,סיאט ארונה TYLE BICOLOR,סיאט,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,999 ליטר בנזין,999,בנזין,67932,1,1,אפור,פרטית,0,0,0,0,1,3,1353,413.8,small,0,1,0,0
2084,מאזדה 3 COMFORT,מאזדה,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1496 ליטר בנזין,1496,בנזין,45000,2,1,כסף מטלי,ליסינג,0,0,1,0,0,2,1811,458.0,medium,0,0,0,1
1361,מאזדה 3 ACTIVE,מאזדה,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1598 ליטר בנזין,1598,בנזין,179000,3,1,לבן,ליסינג,0,0,1,0,0,4,1074,449.0,medium,0,0,0,1
2641,טויוטה קורולה SUN,טויוטה,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1598 ליטר בנזין,1598,בנזין,193000,1,1,לבן,ממשלתי,0,0,0,0,0,5,1424,462.0,medium,0,0,0,1
1575,מרצדס GLE 350D 4MATIC LAUNC E COUP,מרצדס,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925 ליטר דיזל,2925,דיזל,27000,2,1,כסף מטלי,פרטית,0,0,0,0,1,4,4731,492.4,large,1,0,0,0
2552,שברולט קרוז LT,שברולט,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1399 ליטר בנזין,1399,בנזין,173000,1,1,אפור כהה,ליסינג,0,0,1,0,0,3,1604,466.6,medium,0,0,0,1
296,סקודה סופרב EXCLUSIVE,סקודה,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1798 ליטר בנזין,1798,בנזין,84000,1,1,אפור מטל,פרטית,0,0,0,0,1,1,2563,486.1,large,1,0,0,0
1242,מאזדה 3 ACTIVE,מאזדה,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1998 ליטר בנזין,1998,בנזין,38000,1,1,לבן,פרטית,0,0,0,0,1,11,1424,458.5,medium,0,0,0,1
1005,טויוטה יאריס SOL,טויוטה,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1496 ליטר בנזין,1496,בנזין,176000,1,1,כסף,פרטית,0,0,0,0,1,4,1235,394.5,small,0,1,0,0
2089,מיצובישי אטראז INSTYLE,מיצובישי,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193 ליטר בנזין,1193,בנזין,262000,1,1,לבן,ליסינג,0,0,1,0,0,9,985,424.5,medium,0,0,0,1
