index,version,CompanyName,year,is_GAC,is_maserati,is_daihatsu,is_porsche,is_ds,is_smart,is_seres,is_cadillac,is_דודג',is_infinity,is_alfa-romeo,is_buick,is_sangiang,is_mini,is_dacia,is_landrover,is_volvo,is_chrysler,is_opel,is_isuzu,is_mercedes,is_lexus,is_audi,is_citroen,is_bmw,is_mitsubishi,is_subaru,is_ford,is_jeep,is_volkswagen,is_suzuki,is_peugeot,is_reno,is_tesla,is_nissan,is_chevrolet,is_mazda,is_skoda,is_MG,is_hyundai,is_siat,is_fiat,is_honda,is_kia,is_toyota,is_cupra,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,is_private_import,is_rented,is_leasing,is_company,is_private,next_test_in,annual_licensing_fee,car_length,size,large,small,mini,medium
543,מיצובישי L-200 DAKAR SE,מיצובישי,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2268 ליטר דיזל,2268,דיזל,0,1,1,שחור,פרטית,0,0,0,0,1,5,3366,530.5,large,1,0,0,0
1803,סקודה אוקטביה AMBITION,סקודה,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999 ליטר בנזין,999,בנזין,135000,1,1,שחור מטלי,ליסינג,0,0,1,0,0,11,1604,467.0,medium,0,0,0,1
1820,יונדאי טוסון SUPREME,יונדאי,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1999 ליטר בנזין,1999,בנזין,82000,2,1,שחור,פרטית,0,0,0,0,1,11,2019,447.5,medium,0,0,0,1
2181,פורד פוקוס TREND,פורד,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1596 ליטר בנזין,1596,בנזין,254000,2,1,כסף מטלי,ליסינג,0,0,1,0,0,12,1424,455.6,medium,0,0,0,1
1178,יונדאי איוניק HYBRID,יונדאי,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1580 ליטר בנזין,1580,בנזין,82000,1,1,לבן,ליסינג,0,0,1,0,0,8,1811,447.0,medium,0,0,0,1
679,טויוטה C-HR HYBRID CHIC,טויוטה,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798 ליטר בנזין,1798,בנזין,138000,1,1,אפור,פרטית,0,0,0,0,1,3,1835,436.0,medium,0,0,0,1
2097,רנו קאדג'ר LIFE,רנו,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1461 ליטר דיזל,1461,דיזל,224000,1,1,לבן,ליסינג,0,0,1,0,0,6,1835,444.9,medium,0,0,0,1
2031,פורד טרנזיט CUSTOM S,פורד,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995 ליטר דיזל,1995,דיזל,0,1,1,אפור ברונזה,פרטית,0,0,0,0,1,3,3366,497.3,large,1,0,0,0
1660,סיאט איביזה SPORT,סיאט,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1197 ליטר בנזין,1197,בנזין,190000,4,2,צהוב חזק,לימוד נהיגה,0,0,0,0,0,10,1074,405.2,small,0,1,0,0
2997,סקודה קודיאק AMBITION,סקודה,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1395 ליטר בנזין,1395,בנזין,159800,1,1,זהב,ליסינג,0,0,1,0,0,5,2019,448.0,medium,0,0,0,1
239,מיצובישי אאוטלנדר INSTYLE,מיצובישי,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998 ליטר בנזין,1998,בנזין,100000,1,1,לבן,פרטית,0,0,0,0,1,11,2019,469.5,medium,0,0,0,1
1253,סקודה אוקטביה AMBITION,סקודה,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1197 ליטר בנזין,1197,בנזין,105000,2,1,אפור מטל,ליסינג,0,0,1,0,0,7,1604,465.9,medium,0,0,0,1
1116,יונדאי איוניק HYBRID PREMIUM,יונדאי,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1580 ליטר בנזין,1580,בנזין,95733,1,1,לבן,ליסינג,0,0,1,0,0,3,1811,447.0,medium,0,0,0,1
1099,יונדאי איוניק HYBRID PREMIUM,יונדאי,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1580 ליטר בנזין,1580,בנזין,148000,2,1,לבן,ליסינג,0,0,1,0,0,3,1604,447.0,medium,0,0,0,1
764,פיאט 500 1.2 MY LOUNGE,פיאט,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1242 ליטר בנזין,1242,בנזין,45000,3,1,תכלת,פרטית,0,0,0,0,1,3,1205,354.6,mini,0,0,1,0
2022,מרצדס E קלאס E300 DE AMG,מרצדס,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950 ליטר חשמל/דיזל,1950,חשמל/דיזל,0,1,1,שחור מטלי,פרטית,0,0,0,0,1,3,4731,493.5,large,1,0,0,0
2256,רנו גראנד קופה INTENSE,רנו,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1461 ליטר דיזל,1461,דיזל,111000,1,1,לבן,ליסינג,0,0,1,0,0,1,1604,463.2,medium,0,0,0,1
1117,יונדאי אלנטרה GL,יונדאי,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1591 ליטר בנזין,1591,בנזין,135000,2,1,בז מטאלי,השכרה,0,1,0,0,0,2,1604,457.0,medium,0,0,0,1
1103,קיה סורנטו URBAN,קיה,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2359 ליטר בנזין,2359,בנזין,135000,2,1,לבן,ליסינג,0,0,1,0,0,5,2019,478.0,large,1,0,0,0
2848,מרצדס B קלאס B200 PROGRESSIVE,מרצדס,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332 ליטר בנזין,1332,בנזין,58000,1,1,לבן,פרטית,0,0,0,0,1,5,3366,439.3,medium,0,0,0,1
2533,סקודה קודיאק AMBITION,סקודה,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1395 ליטר בנזין,1395,בנזין,113302,1,1,אפור,ליסינג,0,0,1,0,0,2,2019,468.8,medium,0,0,0,1
2498,טויוטה אוריס HYBRID TS,טויוטה,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798 ליטר בנזין,1798,בנזין,181519,1,1,כסף,ליסינג,0,0,1,0,0,8,1604,459.5,medium,0,0,0,1
2923,רנו גראנד קופה INTENSE,רנו,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1461 ליטר דיזל,1461,דיזל,84000,2,1,כסף,ליסינג,0,0,1,0,0,4,1604,463.2,medium,0,0,0,1
2826,יונדאי I25 INSPIRE,יונדאי,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1591 ליטר בנזין,1591,בנזין,170000,3,1,לבן,ליסינג,0,0,1,0,0,1,1353,437.0,medium,0,0,0,1
2530,ג'יפ רנגלר SPORT,ג'יפ,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3604 ליטר בנזין,3604,בנזין,89000,2,1,ירוק מטל,פרטית,0,0,0,0,1,6,1962,422.3,medium,0,0,0,1
343,סיאט אטקה STYLE,סיאט,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1498 ליטר בנזין,1498,בנזין,3522,1,1,אפור,פרטית,0,0,0,0,1,10,1811,438.1,medium,0,0,0,1
1106,שברולט ספארק LT PLUS,שברולט,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1399 ליטר בנזין,1399,בנזין,0,1,1,כסף מטלי,פרטית,0,0,0,0,1,3,1235,365.5,mini,0,0,1,0
2593,הונדה CR-V COMFORT,הונדה,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1997 ליטר בנזין,1997,בנזין,90000,1,1,אפור,פרטית,0,0,0,0,1,4,1693,457.0,medium,0,0,0,1
557,אאודי A3 SHARP,אאודי,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395 ליטר בנזין,1395,בנזין,110000,3,1,לבן,פרטית,0,0,0,0,1,6,1693,431.0,medium,0,0,0,1
1476,DS 5 SO CHIC,DS,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598 ליטר בנזין,1598,בנזין,89446,2,1,אפור,פרטית,0,0,0,0,1,4,2563,453.0,medium,0,0,0,1
2960,יונדאי איוניק HYBRID PREMIUM,יונדאי,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1580 ליטר בנזין,1580,בנזין,93000,1,1,כסף,ליסינג,0,0,1,0,0,3,1604,447.0,medium,0,0,0,1
594,קיה נירו EX,קיה,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1580 ליטר בנזין,1580,בנזין,90029,1,1,טורקיז,פרטית,0,0,0,0,1,3,1604,435.5,medium,0,0,0,1
1558,טויוטה קורולה SUN,טויוטה,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798 ליטר בנזין,1798,בנזין,48000,1,1,לבן,ליסינג,0,0,1,0,0,5,1811,463.0,medium,0,0,0,1
411,קיה נירו EX,קיה,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1580 ליטר בנזין,1580,בנזין,17041,1,1,לבן,פרטית,0,0,0,0,1,4,1811,435.5,medium,0,0,0,1
2653,פיג'ו 5008 ACTIVE,פיג'ו,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499 ליטר דיזל,1499,דיזל,0,1,1,אפור בהיר,פרטית,0,0,0,0,1,4,2417,464.1,medium,0,0,0,1
2474,אאודי A3 SEDAN DESIGN LMTD,אאודי,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984 ליטר בנזין,1984,בנזין,55000,1,1,לבן,פרטית,0,0,0,0,1,5,3366,445.8,medium,0,0,0,1
108,סוזוקי בלנו GLX,סוזוקי,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242 ליטר בנזין,1242,בנזין,20639,1,1,כסוף מטאלי,פרטית,0,0,0,0,1,7,1235,399.5,small,0,1,0,0
1157,מאזדה 3 ACTIVE,מאזדה,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1496 ליטר בנזין,1496,בנזין,161000,1,1,כסוף כהה מטלי,ליסינג,0,0,1,0,0,6,1604,458.5,medium,0,0,0,1
2707,שברולט אימפלה LTZ,שברולט,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3564 ליטר בנזין,3564,בנזין,154000,2,1,כסוף בהיר,פרטית,0,0,0,0,1,6,1962,511.3,large,1,0,0,0
318,סיאט לאון FR,סיאט,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1798 ליטר בנזין,1798,בנזין,85000,1,1,אפור,פרטית,0,0,0,0,1,3,1693,427.1,medium,0,0,0,1
1036,אאודי A4 LUXURY DSN,אאודי,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984 ליטר בנזין,1984,בנזין,74000,1,1,אפור,פרטית,0,0,0,0,1,2,3357,472.6,large,1,0,0,0
840,טויוטה C-HR HYBRID CLUB,טויוטה,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798 ליטר בנזין,1798,בנזין,136000,1,1,לבן,ליסינג,0,0,1,0,0,7,1604,436.0,medium,0,0,0,1
2959,קיה נירו EX,קיה,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1580 ליטר בנזין,1580,בנזין,117000,1,1,לבן,ליסינג,0,0,1,0,0,4,1604,435.5,medium,0,0,0,1
1352,הונדה סיוויק LS,הונדה,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1799 ליטר בנזין,1799,בנזין,182000,2,1,בז מטאלי,פרטית,0,0,0,0,1,1,1262,454.5,medium,0,0,0,1
2472,מאזדה CX-3 ZOOM,מאזדה,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1998 ליטר בנזין,1998,בנזין,111995,1,1,אפור בהיר,ליסינג,0,0,1,0,0,5,1604,427.5,medium,0,0,0,1
1948,יונדאי וניו INTENSE,יונדאי,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1598 ליטר בנזין,1598,בנזין,1000,1,1,אפור,ליסינג,0,0,1,0,0,2,1529,404.0,small,0,1,0,0
2715,קיה סורנטו URBAN,קיה,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2359 ליטר בנזין,2359,בנזין,61000,1,1,אפור,ליסינג,0,0,1,0,0,11,2019,480.0,large,1,0,0,0
680,יונדאי טוסון OPEN SKY,יונדאי,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1999 ליטר בנזין,1999,בנזין,52000,2,1,אפור כהה,פרטית,0,0,0,0,1,7,2019,447.5,medium,0,0,0,1
729,מיצובישי ASX INSTYLE,מיצובישי,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998 ליטר בנזין,1998,בנזין,34492,1,1,לבן,פרטית,0,0,0,0,1,7,1811,436.5,medium,0,0,0,1
