index,version,CompanyName,is_GAC,is_maserati,is_daihatsu,is_porsche,is_ds,is_smart,is_seres,is_cadillac,is_דודג',is_infinity,is_alfa-romeo,is_buick,is_sangiang,is_mini,is_dacia,is_landrover,is_volvo,is_chrysler,is_opel,is_isuzu,is_mercedes,is_lexus,is_audi,is_citroen,is_bmw,is_mitsubishi,is_subaru,is_ford,is_jeep,is_volkswagen,is_suzuki,is_peugeot,is_reno,is_tesla,is_nissan,is_chevrolet,is_mazda,is_skoda,is_MG,is_hyundai,is_siat,is_fiat,is_honda,is_kia,is_toyota,is_cupra,year,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,is_private_import,is_rented,is_leasing,is_company,is_private,next_test_in,annual_licensing_fee,car_length,size,large,small,mini,medium,price
1998,פולקסווגן פולו GTI,פולקסווגן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1798 ליטר בנזין,1798,בנזין,59500,2,1,לבן,פרטית,0,0,0,0,1,1,1835,398.3,small,0,1,0,0,103300
2610,טויוטה וורסו GLI,טויוטה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,1798 ליטר בנזין,1798,בנזין,157000,1,1,אפור,ליסינג,0,0,1,0,0,3,1835,446.0,medium,0,0,0,1,93000
2292,מרצדס CLA קלאס GLA200,מרצדס,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,1332 ליטר בנזין,1332,בנזין,0,1,1,לבן,פרטית,0,0,0,0,1,6,4731,469.0,medium,0,0,0,1,354000
1492,יונדאי סונטה HYBRID PREMIUM,יונדאי,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018,1999 ליטר בנזין,1999,בנזין,140000,1,1,אפור מטל,ליסינג,0,0,1,0,0,5,2019,485.5,large,1,0,0,0,105000
1930,ניסאן אלמרה SL,ניסאן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,1598 ליטר בנזין,1598,בנזין,80000,2,1,לבן,פרטית,0,0,0,0,1,3,1205,445.5,medium,0,0,0,1,37000
2256,רנו גראנד קופה INTENSE,רנו,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,1461 ליטר דיזל,1461,דיזל,111000,1,1,לבן,ליסינג,0,0,1,0,0,1,1604,463.2,medium,0,0,0,1,84000
1541,טויוטה קורולה SUN,טויוטה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,1798 ליטר בנזין,1798,בנזין,94438,1,1,לבן,ליסינג,0,0,1,0,0,2,1811,463.0,medium,0,0,0,1,106000
289,ניסאן מיקרה VISIA,ניסאן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018,1198 ליטר בנזין,1198,בנזין,51000,2,1,כסוף בהיר,פרטית,0,0,0,0,1,1,1102,382.5,small,0,1,0,0,54000
543,מיצובישי L-200 DAKAR SE,מיצובישי,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2268 ליטר דיזל,2268,דיזל,0,1,1,שחור,פרטית,0,0,0,0,1,5,3366,530.5,large,1,0,0,0,270000
1048,ניסאן NAVARA SE,ניסאן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011,2488 ליטר דיזל,2488,דיזל,35000,3,1,אפור בהיר מטלי,פרטית,0,0,0,0,1,5,1508,529.6,large,1,0,0,0,66000
