index,price
2452,67000
802,340000
2944,125000
2987,59000
2720,65900
440,109900
508,99000
76,115000
2356,165000
649,56000
522,379000
1488,51500
1105,180000
2808,62000
654,57000
1177,38000
2795,479000
1598,55250
2242,35900
630,61000
1255,35500
1650,75000
2817,430000
482,102000
1929,39000
1114,90000
2564,56770
1089,132000
438,128900
1718,25000
2184,50942
856,61000
1985,84900
166,128000
59,37000
611,96900
530,74500
1741,101900
49,119000
2992,420000
1011,65000
858,84000
1017,77000
48,66000
719,124900
2410,106000
1278,72000
2247,121000
2763,20000
632,34900
1295,310900
2279,169500
1596,120000
1286,115000
25,35000
1808,69000
219,49900
1283,219000
276,118000
2189,430000
1398,21000
1236,390000
1641,74000
999,40900
2941,139000
361,48000
1200,78000
1543,82000
1672,49900
2335,57000
1044,20900
1837,79000
2620,95000
2299,88000
2091,199900
2630,86500
297,63750
1313,42544
937,60000
240,199999
1192,199999
582,74900
1797,47000
1204,78000
2710,94000
1801,67900
2398,135000
350,52000
2746,134000
1221,120999
349,175000
2751,432600
1241,26500
643,145000
2014,41000
944,225000
2650,67886
657,99000
1916,97900
1767,33000
1237,34900
2468,74900
647,445000
1034,30000
1263,78500
2647,155000
1073,100000
538,76000
2234,70000
2503,42783
2376,225000
1532,35900
2013,19000
2053,119900
801,120000
786,209000
2900,69000
2042,40000
788,99000
1626,105000
1391,21900
2015,54000
714,52000
803,28000
1637,76000
2258,25000
123,32500
1317,105000
2350,179900
2816,152900
618,248000
406,74000
2701,49900
1871,57000
1134,56500
1593,29000
497,140000
2124,79900
325,214900
342,114900
1840,163000
2850,91900
782,97000
2627,158000
299,66000
1462,70000
1146,101000
303,75000
2456,66440
2958,19000
1657,17900
664,119900
1691,116900
220,92900
1860,62374
2419,63000
1456,76900
449,117900
1429,59900
2177,76168
84,69900
2525,37460
941,83000
961,72000
841,129000
2738,27000
2379,103143
2901,500000
1512,104900
290,35000
1927,105000
2339,60000
604,96900
2034,75000
916,108900
1239,75000
2969,102900
2099,110000
1288,47900
821,34900
2470,64500
1000,75900
1336,38000
18,160000
1778,250000
2460,189000
1640,122000
2692,45900
1536,139000
2004,116900
1623,54900
1978,86400
2283,74000
1902,35000
360,105000
1102,60000
1465,29000
1565,57000
344,124900
986,46000
1261,174500
1714,207000
2011,129900
1897,73000
1084,29900
1576,18900
85,62000
2064,254900
668,88000
1014,44900
128,71000
2273,28000
2833,275000
891,119900
2486,64900
307,94000
383,64000
1835,115000
1128,214900
426,46900
494,780000
1566,110000
2983,204900
2749,25000
1674,29900
1608,239000
275,17999
489,67000
1206,105000
690,91500
2748,80000
2374,48000
1190,67000
2206,53000
2080,235000
1058,132000
118,155000
2083,115000
1987,131000
281,23000
2718,256000
2892,55000
1988,890000
1149,259000
2907,114000
2194,102000
1945,96000
304,13000
1846,135000
1357,95000
1366,215999
575,94900
1873,42000
2573,145000
2624,74900
1467,86500
1606,158900
843,89000
1779,119000
269,72900
629,118000
1033,35000
286,66000
2212,65000
300,91000
1350,64900
1813,122850
65,30000
2221,92000
890,129900
2669,42542
1732,59900
1220,69999
230,112900
503,86000
1210,33000
1351,250000
2442,34900
1228,110000
1004,144900
836,86999
2516,21000
374,174000
1251,76900
2111,83000
1788,99000
1805,145000
2195,72000
751,68900
99,57500
2526,35000
866,89900
910,86900
1321,43900
529,43000
636,129000
185,62000
1188,128900
1405,58000
931,98000
1591,69900
2296,18000
1397,179900
2402,82000
2001,35000
607,70900
1343,136999
151,96900
1468,111500
2493,263355
731,109900
1338,72900
2176,32000
2730,39000
23,95000
1662,119900
158,37900
861,112000
902,78900
1431,49000
2254,117000
444,102900
2939,38000
754,44900
923,69900
2972,60900
2103,118000
311,77000
548,116500
1947,54000
1457,81000
306,122900
287,37000
694,97000
308,43250
2321,95000
749,104900
1435,275000
2098,108500
908,139900
1882,23000
2381,12400
2819,68412
2495,640000
970,138000
13,90000
873,24900
808,96000
2579,52900
514,49000
2414,79250
409,70900
1364,61500
2260,155000
1307,104000
1226,45999
1804,187000
1419,100900
382,430000
1702,99010
2188,68000
1326,93500
1472,14000
552,109000
222,52900
1096,79900
2599,60000
8,28999
1477,74900
316,160000
427,104900
1697,112000
105,82000
1938,103900
142,89900
121,10000
2372,155000
2866,44000
1189,73000
2980,120000
2601,72162
1425,50000
115,92000
1406,95000
2894,48025
2144,69000
2798,131500
2950,211500
2839,92000
1798,345000
672,75900
1432,162500
2538,139900
591,86900
2704,82900
888,59900
2163,85000
1754,52000
2411,68000
213,36900
2009,689000
2079,40000
800,95000
2481,103000
2063,63900
2284,32000
2663,131000
2712,19900
273,179900
71,44000
1791,90000
1087,65000
394,90000
583,107900
1972,115000
2617,128000
500,75500
2016,119900
2345,137000
2981,98000
2741,43019
2671,37900
1259,32000
1743,286900
205,84000
733,31900
1517,39900
526,69900
1376,189000
898,114900
377,190000
1727,57000
2683,108900
1444,115000
386,115000
198,21999
1050,115000
590,114900
519,329900
2116,67000
429,134900
1083,110000
207,200000
491,266000
1334,16000
2913,127000
792,117000
2744,74920
1186,109317
1185,110000
1762,68000
1656,275000
2233,73000
83,120000
2370,67999
2227,161500
20,77900
1764,109900
1559,229500
1940,103450
2694,63350
1939,49900
973,58999
2858,109900
883,124900
1098,27000
156,90900
2691,84900
886,90900
3000,17000
1659,123640
2549,165000
1497,39500
2535,128000
2025,49000
1577,24000
2649,44400
458,200000
1894,395000
78,17000
2915,58000
1056,18000
906,354900
1564,24900
2215,118900
2697,120700
380,30000
947,125000
1713,155000
1961,88500
715,75900
1915,109900
686,95900
2566,785000
1293,87900
305,17000
209,15000
1486,385000
2222,118000
2977,125000
1538,149000
885,130900
2338,24000
917,54900
2499,65000
2791,160941
191,150000
1748,83500
2028,41762
1265,56500
483,435000
915,129900
2600,60000
277,106000
988,25999
1455,134900
1896,365000
1628,12999
571,70900
993,39990
1831,18900
1756,29500
585,109900
1572,385000
2995,135000
1349,63000
2029,33000
674,119500
1694,128900
855,63000
447,136900
2936,25000
2149,89900
2360,25999
2259,115000
2676,62576
2441,85900
1717,33900
2672,98000
1247,55000
294,95000
588,100900
1281,109000
1423,475000
2438,63500
1427,20000
2938,65000
425,124900
534,56500
1054,219000
1866,117000
2505,29000
1426,54500
132,215000
1839,319000
2430,18000
421,94900
2659,72000
2030,57500
2312,745000
1368,121000
556,71900
2045,45000
1487,69900
2823,70576
570,46900
352,92000
91,68900
2123,80000
2534,54000
1170,29000
2986,93200
1285,11500
1703,28000
2319,35999
1448,49900
2942,130000
697,100000
2507,310000
348,24500
2954,96000
2347,32900
2792,37974
2996,100000
1137,90000
2688,49000
1453,210000
2837,48040
2821,128264
1339,59900
2605,18000
453,92900
913,73900
1199,196500
1274,49945
1868,79900
37,97900
974,60000
2771,46000
983,114900
1807,66900
1963,19400
1418,40500
1284,85000
39,112000
2745,120990
169,25000
1355,259900
737,102900
1551,79000
2700,104900
2963,110900
634,12500
2648,79900
1920,34000
1290,117000
1380,269000
579,44900
328,56000
2835,190000
892,92900
2728,105000
780,100000
159,104900
2019,125240
2529,60000
2325,56000
61,275000
849,89000
2130,49000
2893,49000
1043,11500
2497,109000
1937,85000
1620,48040
1070,24000
53,25000
258,59900
505,89000
752,28900
1980,44090
2043,122900
2810,145000
1518,100900
2999,130500
2274,211500
1389,35000
1266,65250
2467,68900
1712,45000
771,99000
2803,151000
2651,53030
2686,77000
1085,75000
1720,79900
1533,160000
1325,78000
2120,22000
1556,129900
2228,60000
1832,125000
1883,33000
1681,113000
2389,22000
1716,22000
1163,175000
963,45900
2903,29900
2756,420000
398,28999
584,134900
948,116000
704,134000
431,109900
292,16999
145,33000
323,118000
2484,29900
1165,19000
1452,319000
2,79900
576,74900
2737,52000
339,114900
1783,85500
1586,42900
925,59900
265,168000
376,115900
2050,44900
1463,74500
271,308500
696,145000
2975,60000
244,65000
2868,580000
476,119900
2241,29900
1723,189000
1850,844000
1677,114000
2784,53500
2955,105000
1925,68412
1872,109000
250,79000
413,47900
545,128000
1193,33000
738,104900
310,119900
1690,272000
893,119900
1131,43900
1449,162000
2908,98000
15,49999
1952,137000
721,94900
1420,38000
2634,56500
981,62000
1876,449000
1539,106000
2531,71990
1550,97000
2423,92000
363,125900
1999,29000
182,335000
985,199900
1992,102000
1194,129367
1770,117900
2930,44000
1121,96900
187,20999
619,90000
1613,49512
1175,31000
1182,449900
2754,65000
2840,221900
614,69900
1513,64900
1466,113500
401,36900
994,127900
934,56000
371,149000
1924,319500
2166,50000
593,113900
1912,102900
726,59900
826,82000
1675,144500
687,102900
2216,69999
136,240000
2451,58500
628,92000
334,194900
390,48500
2310,71900
1109,126500
1738,67000
2699,88900
710,125000
1039,38000
1886,62000
2397,101900
2596,164000
1561,116770
2758,114000
1594,64000
2550,55000
1112,122400
465,85900
1560,50000
1223,165000
2232,94000
2968,53230
2349,97000
1508,58000
1104,109500
1990,345000
338,52900
215,84900
1615,36500
1918,39500
2515,34000
2805,77000
1592,17000
2357,100400
2988,171900
2523,160000
816,81000
1067,36000
2005,485000
274,115000
2245,180000
865,41000
101,35999
1501,79500
2293,92000
171,81900
107,23999
1864,93000
1521,55000
2989,35000
2203,94900
1957,70000
1765,50900
2073,90000
1964,67078
