index,price
659,187000
1794,99999
2511,48040
186,50000
1147,124900
608,75900
2191,175000
1930,37000
197,125000
2327,49900
293,62500
766,196500
400,54000
122,49000
202,19999
835,46000
2294,22900
1439,112000
1733,110500
1695,19900
2929,24900
1707,84000
2914,129000
1153,64900
1661,85000
2432,30000
1759,48000
854,39900
1589,115000
2267,37000
641,85000
1,45000
2160,168900
698,36250
1636,102760
1291,480000
2857,137000
2489,72500
1520,182000
1853,29990
1136,110000
2899,105271
1631,50000
1998,103300
663,199000
683,123000
1257,77000
317,124900
648,285000
1434,289000
1479,93900
709,84900
1282,153000
1768,46900
972,83000
2675,532000
2680,116900
1306,100000
1400,199000
1408,86000
2237,449900
1496,85900
2038,119900
1529,264355
1663,54000
1354,53900
2925,235000
2946,430000
1643,108000
1051,137000
795,46000
2693,52500
1597,45000
2604,56000
2729,181000
2625,11990
1819,60000
1722,89900
1183,31900
2572,195000
1059,128900
540,270000
1678,119000
2796,109900
2889,108860
2532,223000
1757,36948
1923,90900
95,41500
1020,86000
563,109900
2790,38500
863,29900
1484,105000
1881,54000
1038,275000
206,119900
392,206000
2842,49130
870,115900
397,119000
2814,72040
2883,71052
1028,255000
2690,52900
1485,195000
2660,63900
960,99000
1570,50900
2773,123900
1895,76900
2731,179000
2146,68005
804,116000
1751,183000
2454,28000
502,99000
779,79999
1863,69000
200,47500
2182,165000
2088,55000
2278,182664
1796,300000
378,87900
2336,115600
418,43900
1698,14900
391,74900
2640,110000
1522,85900
1162,89900
1495,97000
2695,75930
2027,100000
1152,68500
1367,229000
2568,46885
64,91999
2062,91900
1180,118000
492,178500
379,26000
2235,48000
763,53000
2264,79000
791,46000
1076,29000
878,70900
337,113900
2767,95000
2343,349900
1016,56000
1275,39500
455,109900
815,72000
2317,91900
995,89000
1981,471000
201,171000
161,99900
1579,146000
2777,126900
2449,104600
702,160000
1500,140000
1129,74900
2613,98500
1021,114000
1585,29800
1955,55000
2253,217400
34,94500
775,27500
2556,109000
1478,295000
1390,53000
2139,82000
1363,103000
2945,165000
2612,68840
2824,52853
2041,58999
241,115000
2061,63500
2363,175000
600,34900
2435,86000
1297,190900
2214,86900
2888,118000
2068,50180
646,102000
1528,311000
2879,52000
1267,23000
1899,227000
562,51000
2734,90000
189,141000
1806,39900
975,89000
2747,164158
2047,131900
2558,52844
1082,112000
474,29000
2904,89900
747,74900
2300,83900
21,89900
459,153000
1184,32900
2324,44900
955,97900
1215,75000
2433,25250
2853,99000
1515,73000
2391,84400
769,99000
1685,71900
130,110000
2919,452000
2135,310000
1482,430000
330,62900
1238,195000
466,164500
2169,78500
1638,192900
1095,83500
1130,78900
1294,137990
860,127000
